,IMOEX,SU26219RMFS4,SBER,LKOH,T,VTBR,OZON,YDEX,X5,SPBE,PLZL,PHOR,LQDT,TMOS,TGLD,RU000A108Q29,RU000A10CMR3,RU000A10DQA8,RU000A105QX1,SU26226RMFS9,SU26207RMFS9,SU26212RMFS9
IMOEX,1.0,0.48316120073299623,0.7245030975312454,0.6653196559588752,0.5687696160296611,0.4687917590913084,0.512710095678914,0.5327492777063529,0.38603769800037524,0.33685057641674715,0.015911977479166842,0.3081188662377644,0.019073388154615758,0.7206246592593134,-0.03202890597575928,0.049280531383068225,0.25236226256454275,0.45514519256022967,0.11589184872885462,0.43478967059805085,0.48530418233800393,0.5883053669058191
SU26219RMFS4,0.48316120073299623,1.0,0.3816634945427575,0.31842185049833194,0.2645623807409307,0.23791539448267063,0.317232593520937,0.30709070293866325,0.219373452729107,0.16495550119601132,0.023585783422937805,0.143633228459513,0.0997158411436465,0.3149801131537837,-0.07907339129754966,0.033934275091376205,-0.01681326388975914,0.5658052436950534,0.047527873798936845,0.9043432186260328,0.8451402576131775,0.8281614894070758
SBER,0.7245030975312454,0.3816634945427575,1.0,0.6186551858195587,0.6232270942500016,0.5456885238321805,0.514706688946856,0.8113871474249499,0.5273061620498363,0.339076289359727,0.025676443395338706,0.3101644829771023,-0.03493610379636426,0.7568340029533236,-0.05375649090179684,0.015380758691892196,0.31460910146070453,0.7354549331380004,0.05470271292804897,0.3761347396971699,0.40745976415264024,0.4792770680873271
LKOH,0.6653196559588752,0.31842185049833194,0.6186551858195587,1.0,0.5101132803989596,0.4070300658890821,0.4842859674438736,0.6761918796769103,0.4690861625498902,0.2997819552061126,0.02412811413133606,0.3252980886429293,0.009059610614970643,0.6849966180344056,0.022882121642823175,0.06305205074757785,0.28395436802818863,-0.07625605152765856,0.1067042253260524,0.2784741445540833,0.3078348584781098,0.36822754681132297
T,0.5687696160296611,0.2645623807409307,0.6232270942500016,0.5101132803989596,1.0,0.4211884983262511,0.5582852670189821,0.8601847268226819,0.557303737401949,0.32062582433709924,-0.004715843172009649,0.27706837449097027,-0.0579727438389489,0.6428758147114364,0.013518925826231785,0.004539888351249392,0.3557931754103331,0.4183245017345843,0.08198485896250426,0.2675613979842197,0.2810180659740414,0.3243189070681787
VTBR,0.4687917590913084,0.23791539448267063,0.5456885238321805,0.4070300658890821,0.4211884983262511,1.0,0.4072414193464974,0.657392233837315,0.4060852512496212,0.2395563464522726,0.013047194822463047,0.18756552915626534,-0.016823091919197064,0.509853782974697,-0.05854893149075642,0.04555833922495467,0.19306430475589909,0.45080708639280126,0.006162674452656173,0.23480249320059682,0.23989421646508877,0.30871722206713137
OZON,0.512710095678914,0.317232593520937,0.514706688946856,0.4842859674438736,0.5582852670189821,0.4072414193464974,1.0,0.6100427191723228,0.3493403392388291,0.23688295780537713,0.013314177785188617,0.20579227995035565,0.012891064569278424,0.6081966112177751,-0.036194409962229855,0.05363314199774244,0.05872862759175037,0.3456030588682491,0.06580592835138072,0.2822651711831815,0.30532072740559213,0.31941756389413484
YDEX,0.5327492777063529,0.30709070293866325,0.8113871474249499,0.6761918796769103,0.8601847268226819,0.657392233837315,0.6100427191723228,1.0,0.5130692832512361,0.5792366649903453,-0.04838167099621371,0.5203648106847367,-0.053495060708290826,0.7537605384950944,0.04838807453168822,0.020536382621073598,0.2728542612819791,-0.05534743170790799,0.06268491866392949,0.3382629890891377,0.34699206979544384,0.41112723579315646
X5,0.38603769800037524,0.219373452729107,0.5273061620498363,0.4690861625498902,0.557303737401949,0.4060852512496212,0.3493403392388291,0.5130692832512361,1.0,0.38230837077229607,0.024626947144205782,0.2578455081728156,-0.004227372190580306,0.5585517891885791,0.03489481144953739,0.03559198691726869,0.2509904367056803,0.12316103012664512,0.06186652550743336,0.24463862091809674,0.2104352552679573,0.35303871515548285
SPBE,0.33685057641674715,0.16495550119601132,0.339076289359727,0.2997819552061126,0.32062582433709924,0.2395563464522726,0.23688295780537713,0.5792366649903453,0.38230837077229607,1.0,-0.04837149540808439,0.13546668869337736,-0.008337942521714504,0.4162425731331653,-0.025145338070461865,0.12425290326951013,0.31154389680067107,0.3013482309851124,0.029177749599078474,0.14822656335823506,0.17992540247058902,0.2049833647903886
