secid,weight,mc_vol,rc_vol,rc_share
TGLD,0.2,0.005142316520673035,0.0010284633041346071,0.5919586886576086
OZON,0.0412057584876553,0.00599170517111849,0.0002468927562103439,0.14210551958226153
SBER,0.0489424082643149,0.0026106775375776344,0.0001277728458906009,0.07354297036693437
SU26226RMFS9,0.2,0.00045954954014283737,9.190990802856747e-05,0.05290112774321343
SU26207RMFS9,0.1002266185067058,0.0008465230039441733,8.484413817346327e-05,0.0488342409219054
SPBE,0.0066614037695769,0.009194024485959146,6.124510936835059e-05,0.035251208752544436
SU26219RMFS4,0.2,0.00028908078816998733,5.7816157633997466e-05,0.033277586782778715
LQDT,0.2,0.00012964941007295803,2.5929882014591608e-05,0.014924615095839335
PLZL,0.0029638109717478,0.0042230200334221505,1.2516233108967332e-05,0.007204042096914262
LKOH,0.0,0.002153831712605288,0.0,0.0
T,0.0,0.004576554016582787,0.0,0.0
VTBR,0.0,0.004611458905100303,0.0,0.0
PHOR,0.0,-0.00023552363216862654,-0.0,-0.0
TMOS,0.0,0.0036859574075735787,0.0,0.0
RU000A105QX1,0.0,0.003011355022126924,0.0,0.0
SU26212RMFS9,0.0,0.0009971418217214487,0.0,0.0
