secid,weight,mc_vol,rc_vol,rc_share
OZON,0.1258438098346466,0.01747581367266172,0.0021992229725281585,0.5246335562105761
TGLD,0.1999900591044922,0.005949390460242759,0.0011898189497796515,0.28383613424701937
SU26212RMFS9,0.1979323909688526,0.0018151645114006748,0.00035927985174334464,0.08570766522970469
RU000A105QX1,0.0384456394331703,0.004233730455866148,0.00016276847456346165,0.03882907950485508
SU26219RMFS4,0.143206577175871,0.0008458887703562929,0.0001211368354742311,0.02889768321666966
SPBE,0.005678759957225,0.00991500825857879,5.630495187437241e-05,0.013431774541787221
SU26207RMFS9,0.0557525388597836,0.0010002657793736589,5.576735673464165e-05,0.013303529041680315
SU26226RMFS9,0.0321024697073166,0.0007922566291498089,2.5433394437702507e-05,0.006067239355461628
PLZL,0.0010365231243777,0.01753237507494262,1.8172712190441236e-05,0.004335174169039561
LQDT,0.1999895458229381,1.9340466159875347e-05,3.8678910433173744e-06,0.0009227010896298045
T,6.723159061273825e-06,0.008775227760210839,5.899725203080312e-08,1.4074033659256698e-05
TMOS,5.891696960212678e-06,0.006525825053418915,3.844818363010796e-08,9.171970082011557e-06
LKOH,6.50336354693267e-06,0.005549704413511706,3.609174537908338e-08,8.609832183731747e-06
SBER,2.3575495430502385e-06,0.005612929791435897,1.3232760064972769e-08,3.1567285619007733e-06
VTBR,2.1024221423800058e-07,0.008988872228784655,1.889840400882157e-09,4.508290894421948e-07
PHOR,8.798125576365603e-21,0.004513136010180162,3.97071373607827e-23,9.47229859852809e-21
