date,IMOEX,SU26219RMFS4,SBER,LKOH,T,VTBR,OZON,YDEX,X5,SPBE,PLZL,PHOR,LQDT,TMOS,TGLD,RU000A108Q29,RU000A10CMR3,RU000A10DQA8,RU000A105QX1,SU26226RMFS9,SU26207RMFS9,SU26212RMFS9
2020-12-21,3186.38,111.28,261.79,5095.5,2382.2,929500.0,3264.0,,,,156.5,3186.0,,5.38,,,,,,112.0,113.45,107.913
2020-12-22,3236.46,111.2,262.04,5073.0,2376.4,930125.0,3231.0,,,,151.02,3251.0,,5.422,,,,,,112.056,113.557,108.04
2020-12-23,3252.1,111.098,270.1,5107.0,2366.4,948625.0,3222.0,,,,151.91500000000002,3269.0,,5.468,,,,,,111.75,113.28,107.93
2020-12-24,3236.88,111.101,269.32,5105.5,2355.0,945750.0,3149.0,,,,151.95000000000002,3132.0,,5.46,,,,,,111.76,113.4,107.95
2020-12-25,3246.35,111.2,270.64,5106.0,2343.2,948750.0,3150.5,,,,151.83,3111.0,,5.482,,,,,,111.849,113.553,107.995
2020-12-28,3258.95,111.227,274.7,5101.5,2365.2,950250.0,3290.0,,,,151.75,3097.0,,5.504,,,,,,111.798,113.412,108.001
2020-12-29,3274.67,111.229,272.0,5143.0,2360.2,943875.0,3232.0,,,,152.29000000000002,3150.0,,5.524,,,,,,112.1,113.642,108.058
2020-12-30,3289.02,111.22,271.65,5169.5,2360.4,947375.0,3289.5,,,,152.45000000000002,3136.0,,5.56,,,,,,112.169,113.6,108.097
2021-01-04,3350.51,111.255,272.0,5212.5,2473.0,948125.0,3229.5,,,,159.48000000000002,3187.0,,5.642,,,,,,112.239,113.929,108.25
2021-01-05,3359.15,111.318,275.2,5358.5,2454.0,961125.0,3348.5,,,,159.875,3360.0,,5.656,,,,,,112.29,113.952,108.435
2021-01-06,3371.03,111.105,272.93,5376.5,2469.8,955875.0,3257.0,,,,157.925,3311.0,,5.688,,,,,,112.129,113.7,108.5
2021-01-08,3454.82,111.5,283.64,5556.5,2925.0,973500.0,3376.5,,,,153.96,3374.0,,5.85,,,,,,112.315,113.702,108.38
2021-01-11,3482.48,110.8,289.49,5599.0,2970.0,997250.0,3382.0,,,,154.89,3401.0,,5.896,,,,,,111.74,113.368,107.9
2021-01-12,3471.65,110.8,289.99,5721.0,2912.2,1004375.0,3530.5,,,,154.19500000000002,3345.0,,5.868,,,,,,111.704,113.354,107.778
2021-01-13,3470.26,110.641,283.78,5755.0,2882.0,993375.0,3491.0,,,,154.26,3385.0,,5.868,,,,,,111.495,113.196,107.462
2021-01-14,3490.85,110.311,284.79,5937.0,3008.2,996875.0,3636.5,,,,150.8,3358.0,,5.888,,,,,,111.398,113.01,107.399
2021-01-15,3450.95,110.138,276.9,5888.5,3250.0,989000.0,3805.5,,,,148.4,3375.0,,5.84,,,,,,111.0,112.537,106.607
2021-01-18,3471.92,110.08,279.79,5873.0,3449.8,979000.0,3795.0,,,,148.405,3476.0,,5.848,,,,,,110.849,112.4,106.742
2021-01-19,3443.23,110.259,278.19,5892.0,3256.2,966125.0,3972.0,,,,146.905,3424.0,,5.824,,,,,,110.981,112.687,106.848
2021-01-20,3466.8,110.286,279.8,5864.0,3171.4,969750.0,4001.0,,,,150.55,3402.0,,5.86,,,,,,110.999,112.796,107.008
2021-01-21,3422.67,110.07,274.4,5771.0,3000.0,946750.0,4057.0,,,,150.595,3453.0,,5.768,,,,,,111.0,112.499,106.7
2021-01-22,3382.92,109.38,268.25,5740.5,3065.0,934250.0,3980.0,,,,148.35,3480.0,,5.716,,,,,,110.5,111.85,106.1
2021-01-25,3397.48,109.44,265.3,5722.0,3112.0,943000.0,4014.5,,,,150.48,3641.0,,5.73,,,,,,110.305,112.139,106.21
2021-01-26,3390.76,109.677,269.34,5595.5,3049.8,943000.0,3901.0,,,,151.19000000000003,3697.0,,5.722,,,,,,110.628,112.178,106.434
2021-01-27,3343.62,109.5,265.5,5499.5,3023.4,926625.0,3560.5,,,,148.6,3623.0,,5.66,,,,,,110.301,111.999,106.137
2021-01-28,3342.01,109.5,265.96,5575.0,3053.2,927250.0,3846.0,,,,146.69500000000002,3682.0,,5.642,,,,,,110.45,111.9,106.099
2021-01-29,3277.08,109.647,258.11,5377.0,3090.8,915875.0,3662.0,,,,143.055,3644.0,,5.532,,,,,,110.598,111.92,106.193
2021-02-01,3291.14,109.649,263.8,5406.0,3243.0,923625.0,3867.5,,,,147.93,3641.0,,5.554,,,,,,110.68,112.0,106.246
2021-02-02,3360.25,109.531,263.15,5516.0,3223.6,923625.0,4016.0,,,,148.93,3629.0,,5.67,,,,,,110.52,111.89,106.227
2021-02-03,3343.46,109.54,263.53,5555.0,3223.4,925000.0,4023.0,,,,145.995,3662.0,,5.638,,,,,,110.53,111.68,105.904
2021-02-04,3372.0,109.65,270.11,5699.5,3199.2,934500.0,4185.5,,,,144.54000000000002,3699.0,,5.69,,,,,,110.592,111.782,106.027
2021-02-05,3392.73,110.179,271.7,5715.0,3254.8,947125.0,4650.0,,,,146.0,3700.0,,5.696,,,,,,110.811,112.347,106.361
2021-02-08,3445.9,110.124,275.2,5758.0,3400.0,957125.0,4969.0,,,,145.505,3667.0,,5.802,,,,,,111.05,112.32,106.477
2021-02-09,3426.86,109.85,268.98,5695.0,3474.6,945125.0,4665.0,,,,145.305,3652.0,,5.78,,,,,,110.779,111.851,106.34
