begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,5061.5,5115.0,4938.5,5095.5,4917482,24826782510.0
2020-12-22,2020-12-22 23:59:59,5040.5,5138.0,5040.5,5073.0,2321248,11830045518.0
2020-12-23,2020-12-23 23:59:59,5070.0,5130.0,5047.5,5107.0,1318404,6715844491.0
2020-12-24,2020-12-24 23:59:59,5128.5,5148.0,5082.5,5105.5,869124,4441413022.0
2020-12-25,2020-12-25 23:59:59,5114.5,5114.5,5087.5,5106.0,269440,1373935091.0
2020-12-28,2020-12-28 23:59:59,5114.0,5175.5,5101.0,5101.5,1376456,7054690592.0
2020-12-29,2020-12-29 23:59:59,5115.5,5170.0,5114.0,5143.0,1322420,6801978241.0
2020-12-30,2020-12-30 23:59:59,5149.5,5204.0,5146.0,5169.5,1580096,8187546803.0
2021-01-04,2021-01-04 23:59:59,5238.5,5274.5,5186.5,5212.5,1556686,8155628978.0
2021-01-05,2021-01-05 23:59:59,5214.5,5359.0,5180.0,5358.5,2357886,12445001085.0
2021-01-06,2021-01-06 23:59:59,5375.0,5401.0,5304.0,5376.5,2789996,14980352381.0
2021-01-08,2021-01-08 23:59:59,5450.0,5557.5,5425.0,5556.5,4140286,22805098204.0
2021-01-11,2021-01-11 23:59:59,5510.0,5639.0,5451.0,5599.0,4095588,22819767114.0
2021-01-12,2021-01-12 23:59:59,5616.0,5724.5,5615.0,5721.0,3494098,19864139735.0
2021-01-13,2021-01-13 23:59:59,5750.0,5827.0,5706.0,5755.0,4091162,23572683234.0
2021-01-14,2021-01-14 23:59:59,5750.0,5957.5,5715.0,5937.0,4213084,24738784963.0
2021-01-15,2021-01-15 23:59:59,5882.5,5995.0,5852.0,5888.5,3831486,22699862001.0
2021-01-18,2021-01-18 23:59:59,5865.0,5902.0,5802.5,5873.0,2616072,15318571592.0
2021-01-19,2021-01-19 23:59:59,5913.0,5968.0,5854.0,5892.0,2487262,14707289892.0
2021-01-20,2021-01-20 23:59:59,5907.0,5962.0,5843.0,5864.0,1932944,11409926274.0
2021-01-21,2021-01-21 23:59:59,5884.5,5921.5,5710.0,5771.0,3664542,21168148088.0
2021-01-22,2021-01-22 23:59:59,5701.0,5787.0,5626.0,5740.5,3278202,18712537231.0
2021-01-25,2021-01-25 23:59:59,5755.0,5797.5,5675.0,5722.0,2641802,15115461373.0
2021-01-26,2021-01-26 23:59:59,5681.0,5703.5,5553.0,5595.5,3244100,18241949679.0
2021-01-27,2021-01-27 23:59:59,5619.5,5631.0,5484.0,5499.5,3466560,19199623266.0
2021-01-28,2021-01-28 23:59:59,5467.0,5617.0,5442.5,5575.0,3372040,18681930794.0
2021-01-29,2021-01-29 23:59:59,5552.0,5561.5,5365.5,5377.0,4043806,22046445995.0
2021-02-01,2021-02-01 23:59:59,5420.0,5426.0,5296.5,5406.0,4227412,22616924770.0
2021-02-02,2021-02-02 23:59:59,5427.5,5577.0,5407.5,5516.0,4902078,26972953461.0
2021-02-03,2021-02-03 23:59:59,5554.0,5642.0,5491.5,5555.0,3598914,20010081383.0
2021-02-04,2021-02-04 23:59:59,5565.0,5728.5,5529.0,5699.5,4543462,25645700899.0
2021-02-05,2021-02-05 23:59:59,5742.0,5770.5,5644.0,5715.0,2252724,12836160936.0
2021-02-08,2021-02-08 23:59:59,5750.0,5797.5,5698.0,5758.0,1927986,11089508123.0
2021-02-09,2021-02-09 23:59:59,5780.5,5796.0,5654.0,5695.0,2102164,12036601571.0
2021-02-10,2021-02-10 23:59:59,5699.5,5712.5,5560.0,5594.5,2681640,15054630026.0
2021-02-11,2021-02-11 23:59:59,5581.0,5690.0,5546.0,5641.5,1411998,7936744093.0
2021-02-12,2021-02-12 23:59:59,5624.5,5756.5,5501.0,5756.0,2530802,14214761651.0
2021-02-15,2021-02-15 23:59:59,5820.0,5910.0,5772.0,5909.5,2284702,13333682599.0
2021-02-16,2021-02-16 23:59:59,5918.0,5930.0,5805.5,5868.5,1867678,10967196329.0
