begin,end,open,high,low,close,volume,value
2022-07-22,2022-07-22 23:59:59,1.1675,1.1677,1.1674,1.1674,258839294,302181924.1
2022-07-25,2022-07-25 23:59:59,1.1677,1.1678,1.1676,1.1677,136066741,158877038.18
2022-07-26,2022-07-26 23:59:59,1.1678,1.168,1.1678,1.1679,151642347,177097722.66
2022-07-27,2022-07-27 23:59:59,1.1681,1.1684,1.1681,1.1684,209958581,245265930.79
2022-07-28,2022-07-28 23:59:59,1.1688,1.1691,1.1688,1.1689,97733725,114237912.2
2022-07-29,2022-07-29 23:59:59,1.1691,1.1693,1.169,1.1693,162651373,190160503.38
2022-08-01,2022-08-01 23:59:58,1.1693,1.1696,1.1693,1.1696,142584833,166751836.18999976
2022-08-02,2022-08-02 23:59:59,1.1697,1.1698,1.1695,1.1697,100763673,117857520.96
2022-08-03,2022-08-03 23:59:59,1.1699,1.1701,1.1698,1.17,108094040,126468586.81
2022-08-04,2022-08-04 23:59:59,1.1705,1.1708,1.1705,1.1708,125404738,146808174.66
2022-08-05,2022-08-05 23:59:59,1.1708,1.171,1.1707,1.171,156324940,183035437.05
2022-08-08,2022-08-08 23:59:59,1.171,1.1713,1.171,1.171,145756249,170694196.67
2022-08-09,2022-08-09 23:59:59,1.1712,1.1715,1.1712,1.1713,99623072,116694468.85
2022-08-10,2022-08-10 23:59:59,1.1715,1.1716,1.1715,1.1715,132198554,154876579.34
2022-08-11,2022-08-11 23:59:59,1.1722,1.1724,1.1722,1.1724,210342823,246579387.31
2022-08-12,2022-08-12 23:59:59,1.1725,1.1727,1.1725,1.1726,113559750,133164317.88
2022-08-15,2022-08-15 23:59:59,1.1728,1.1729,1.1727,1.1729,86624881,101594969.68
2022-08-16,2022-08-16 23:59:59,1.1729,1.1731,1.1729,1.173,127942922,150075673.9
2022-08-17,2022-08-17 23:59:59,1.1732,1.1734,1.1732,1.1734,261223314,306507829.25
2022-08-18,2022-08-18 23:59:59,1.1739,1.1741,1.1739,1.1741,229281057,269191642.35
2022-08-19,2022-08-19 23:59:59,1.1741,1.1743,1.1741,1.1741,92040862,108069958.21
2022-08-22,2022-08-22 23:59:59,1.1745,1.1746,1.1744,1.1745,126408589,148460146.97
2022-08-23,2022-08-23 23:59:59,1.1746,1.1748,1.1746,1.1748,97010894,113953774.92
