begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,3283.0,3346.5,3178.0,3264.0,335810,1099427932.0
2020-12-22,2020-12-22 23:59:59,3263.0,3415.0,3209.0,3231.0,424456,1400228584.5
2020-12-23,2020-12-23 23:59:59,3265.0,3270.0,3131.0,3222.0,318660,1020979232.5
2020-12-24,2020-12-24 23:59:59,3220.0,3243.0,3108.0,3149.0,193821,612632842.5
2020-12-25,2020-12-25 23:59:59,3152.5,3164.0,3130.0,3150.5,44910,141266914.5
2020-12-28,2020-12-28 23:59:59,3168.0,3290.5,3142.5,3290.0,276042,891595632.0
2020-12-29,2020-12-29 23:59:59,3293.0,3327.5,3170.0,3232.0,208916,678256992.5
2020-12-30,2020-12-30 23:59:59,3241.0,3348.0,3202.0,3289.5,220590,729720530.5
2021-01-04,2021-01-04 23:59:59,3269.5,3278.0,2996.0,3229.5,363380,1166306586.5
2021-01-05,2021-01-05 23:59:59,3239.0,3380.5,3209.5,3348.5,281386,928013909.5
2021-01-06,2021-01-06 23:59:59,3345.0,3369.5,3220.0,3257.0,156698,516032591.5
2021-01-08,2021-01-08 23:59:59,3325.0,3500.0,3270.0,3376.5,414915,1409718019.0
2021-01-11,2021-01-11 23:59:59,3365.0,3426.0,3330.0,3382.0,143916,485323377.5
2021-01-12,2021-01-12 23:59:59,3375.0,3572.0,3345.0,3530.5,316288,1100397324.5
2021-01-13,2021-01-13 23:59:59,3501.5,3600.0,3460.0,3491.0,192042,676384499.0
2021-01-14,2021-01-14 23:59:59,3527.5,3696.0,3460.5,3636.5,286347,1024743643.0
2021-01-15,2021-01-15 23:59:59,3620.0,4002.5,3485.0,3805.5,423632,1560848796.5
2021-01-18,2021-01-18 23:59:59,3815.0,3839.5,3722.5,3795.0,126271,478183396.0
2021-01-19,2021-01-19 23:59:59,3874.5,4150.0,3814.5,3972.0,526867,2080726861.0
2021-01-20,2021-01-20 23:59:59,3943.5,4190.0,3943.5,4001.0,461149,1882502174.5
2021-01-21,2021-01-21 23:59:59,4025.0,4199.0,3872.5,4057.0,416744,1690225847.0
2021-01-22,2021-01-22 23:59:59,4069.5,4165.0,3850.0,3980.0,472816,1912167638.0
2021-01-25,2021-01-25 23:59:59,3999.5,4189.0,3930.0,4014.5,367099,1489316365.0
2021-01-26,2021-01-26 23:59:59,4025.0,4089.0,3900.0,3901.0,271878,1083425996.5
2021-01-27,2021-01-27 23:59:59,3929.5,3952.0,3532.5,3560.5,639444,2385881532.0
2021-01-28,2021-01-28 23:59:59,3585.0,3881.5,3512.5,3846.0,596055,2203732225.0
2021-01-29,2021-01-29 23:59:59,3815.5,3869.0,3568.0,3662.0,322851,1214172185.5
2021-02-01,2021-02-01 23:59:59,3700.0,3877.0,3678.0,3867.5,267601,1018138512.5
2021-02-02,2021-02-02 23:59:59,3880.0,4045.0,3877.5,4016.0,343341,1364621657.0
2021-02-03,2021-02-03 23:59:59,4002.0,4064.0,3978.0,4023.0,183970,739919461.0
2021-02-04,2021-02-04 23:59:59,4025.0,4186.5,3991.5,4185.5,336131,1377577284.5
2021-02-05,2021-02-05 23:59:59,4200.0,4667.0,4190.0,4650.0,562715,2488978302.0
2021-02-08,2021-02-08 23:59:59,4680.5,5086.5,4680.0,4969.0,866315,4210273786.5
2021-02-09,2021-02-09 23:59:59,5025.0,5181.0,4650.0,4665.0,741529,3680398845.0
2021-02-10,2021-02-10 23:59:59,4642.5,4977.5,4642.5,4883.0,586491,2839750297.0
2021-02-11,2021-02-11 23:59:59,4930.0,4962.0,4700.0,4726.5,283344,1363191312.0
2021-02-12,2021-02-12 23:59:59,4760.0,4821.0,4536.0,4753.0,305281,1430774949.5
2021-02-15,2021-02-15 23:59:59,4797.0,4891.0,4676.0,4739.0,229898,1093956976.0
2021-02-16,2021-02-16 23:59:59,4764.0,4844.0,4654.0,4765.0,318557,1510988067.0
2021-02-17,2021-02-17 23:59:59,4751.0,4847.0,4400.0,4420.0,1180629,5417302961.5
2021-02-18,2021-02-18 23:59:59,4503.0,4657.0,4486.5,4573.5,721095,3300535809.0
2021-02-19,2021-02-19 23:59:59,4575.0,4949.0,4492.0,4884.5,468481,2211346965.5
2021-02-20,2021-02-20 23:59:59,4840.5,4932.0,4770.0,4864.0,90264,438382237.5
2021-02-22,2021-02-22 23:59:59,4884.0,5022.0,4755.5,4938.0,306439,1498566175.5
2021-02-24,2021-02-24 23:59:59,4775.0,4818.0,4512.5,4557.5,515119,2400164610.0
2021-02-25,2021-02-25 23:59:59,4566.5,4697.5,4275.0,4330.0,439450,1965557463.5
2021-02-26,2021-02-26 23:59:59,4349.5,4525.0,4200.0,4480.0,408891,1773672761.0
2021-03-01,2021-03-01 23:59:59,4467.0,4739.0,4444.5,4703.5,238493,1095941234.0
2021-03-02,2021-03-02 23:59:59,4690.0,4811.0,4602.0,4602.0,307563,1449836481.5
2021-03-03,2021-03-03 23:59:59,4640.0,4736.0,4482.0,4490.5,336771,1551211860.5
2021-03-04,2021-03-04 23:59:59,4497.5,4543.5,4079.5,4226.5,536341,2307684213.5
