begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,3180,3211,3143,3186,127509,404921855
2020-12-22,2020-12-22 23:59:59,3188,3251,3185,3251,130732,420436180
2020-12-23,2020-12-23 23:59:59,3250,3271,3230,3269,218213,710148972
2020-12-24,2020-12-24 23:59:59,3153,3155,3115,3132,191042,598561632
2020-12-25,2020-12-25 23:59:59,3121,3132,3092,3111,46564,144759128
2020-12-28,2020-12-28 23:59:59,3121,3128,3080,3097,123762,383546142
2020-12-29,2020-12-29 23:59:59,3100,3151,3089,3150,99016,309306306
2020-12-30,2020-12-30 23:59:59,3147,3180,3124,3136,107528,339409265
2021-01-04,2021-01-04 23:59:59,3136,3214,3131,3187,99354,315532688
2021-01-05,2021-01-05 23:59:59,3199,3370,3186,3360,230125,760512441
2021-01-06,2021-01-06 23:59:59,3372,3374,3282,3311,120763,400380101
2021-01-08,2021-01-08 23:59:59,3350,3390,3331,3374,135964,458080749
2021-01-11,2021-01-11 23:59:59,3370,3422,3334,3401,97644,331645878
2021-01-12,2021-01-12 23:59:59,3414,3421,3316,3345,110580,371827784
2021-01-13,2021-01-13 23:59:59,3340,3402,3331,3385,136669,460551765
2021-01-14,2021-01-14 23:59:59,3372,3407,3337,3358,102779,345522411
2021-01-15,2021-01-15 23:59:59,3379,3425,3354,3375,100087,338906955
2021-01-18,2021-01-18 23:59:59,3420,3484,3367,3476,197170,680862354
2021-01-19,2021-01-19 23:59:59,3496,3533,3395,3424,165827,575203527
2021-01-20,2021-01-20 23:59:59,3422,3451,3394,3402,115646,394970846
2021-01-21,2021-01-21 23:59:59,3412,3470,3372,3453,312289,1072576545
2021-01-22,2021-01-22 23:59:59,3460,3493,3432,3480,133701,462039674
2021-01-25,2021-01-25 23:59:59,3495,3645,3460,3641,262928,940216088
2021-01-26,2021-01-26 23:59:59,3605,3738,3605,3697,180645,663299769
2021-01-27,2021-01-27 23:59:59,3688,3698,3585,3623,137628,503376824
2021-01-28,2021-01-28 23:59:59,3600,3704,3586,3682,212018,775132681
2021-01-29,2021-01-29 23:59:59,3690,3745,3612,3644,262960,964080422
2021-02-01,2021-02-01 23:59:59,3624,3654,3593,3641,151104,547608447
2021-02-02,2021-02-02 23:59:59,3637,3684,3607,3629,190586,692980972
2021-02-03,2021-02-03 23:59:59,3625,3680,3625,3662,82819,302570642
2021-02-04,2021-02-04 23:59:59,3663,3708,3652,3699,62630,230396883
2021-02-05,2021-02-05 23:59:59,3725,3725,3665,3700,109674,404286981
2021-02-08,2021-02-08 23:59:59,3726,3726,3650,3667,104574,383914434
2021-02-09,2021-02-09 23:59:59,3661,3661,3611,3652,131286,477015794
2021-02-10,2021-02-10 23:59:59,3644,3662,3583,3621,93938,340376019
2021-02-11,2021-02-11 23:59:59,3644,3694,3618,3669,75779,277766292
