begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,156.3,158.45000000000002,153.3,156.5,288245,450916428.85
2020-12-22,2020-12-22 23:59:59,155.5,156.925,150.04500000000002,151.02,247239,377319814.95000005
2020-12-23,2020-12-23 23:59:59,151.3,153.73000000000002,150.57000000000002,151.91500000000002,122009,185699761.5
2020-12-24,2020-12-24 23:59:59,152.3,152.58,151.09,151.95000000000002,58376,88639488.4
2020-12-25,2020-12-25 23:59:59,151.425,152.3,151.42000000000002,151.83,23781,36112790.2
2020-12-28,2020-12-28 23:59:59,152.6,153.45000000000002,151.25,151.75,95429,145145836.45000002
2020-12-29,2020-12-29 23:59:59,151.27,153.35,151.27,152.29000000000002,79363,120889100.2
2020-12-30,2020-12-30 23:59:59,152.5,153.25,151.41,152.45000000000002,75278,114848811.95
2021-01-04,2021-01-04 23:59:59,155.0,160.24,154.005,159.48000000000002,314058,495017439.95000005
2021-01-05,2021-01-05 23:59:59,159.5,161.25,156.115,159.875,282060,449626079.55
2021-01-06,2021-01-06 23:59:59,159.5,160.60000000000002,155.22000000000003,157.925,203989,323258640.90000004
2021-01-08,2021-01-08 23:59:59,157.21500000000003,158.69000000000003,153.04000000000002,153.96,308972,480009878.85
2021-01-11,2021-01-11 23:59:59,154.02,155.83,153.345,154.89000000000001,179879,278445759.40000004
2021-01-12,2021-01-12 23:59:59,155.55,156.42000000000002,152.525,154.19500000000002,149972,231574111.25
2021-01-13,2021-01-13 23:59:59,154.9,155.245,153.285,154.26,134414,207622570.10000002
2021-01-14,2021-01-14 23:59:59,153.5,154.20000000000002,150.15,150.8,268319,406242054.70000005
2021-01-15,2021-01-15 23:59:59,150.79500000000002,151.38,148.0,148.4,149740,224167975.9
2021-01-18,2021-01-18 23:59:59,149.5,151.0,147.15,148.405,177463,265047909.4
2021-01-19,2021-01-19 23:59:59,148.91500000000002,149.1,146.205,146.905,144679,213301328.10000002
2021-01-20,2021-01-20 23:59:59,147.8,151.335,146.56,150.55,241474,360458539.3
2021-01-21,2021-01-21 23:59:59,150.89000000000001,152.175,149.37,150.595,175697,264488396.5
2021-01-22,2021-01-22 23:59:59,148.965,150.6,146.6,148.35,186665,276142741.75
2021-01-25,2021-01-25 23:59:59,148.73,151.99,147.39000000000001,150.48,136342,204649978.75
2021-01-26,2021-01-26 23:59:59,150.89000000000001,152.275,148.15,151.19000000000003,185084,277750087.40000004
2021-01-27,2021-01-27 23:59:59,151.5,151.92000000000002,147.83,148.6,95998,143445376.35
2021-01-28,2021-01-28 23:59:59,148.4,148.925,145.425,146.69500000000002,190318,279638643.85
2021-01-29,2021-01-29 23:59:59,147.32500000000002,147.32500000000002,142.79500000000002,143.055,339605,489521379.40000004
2021-02-01,2021-02-01 23:59:59,144.70000000000002,149.1,143.775,147.93,236030,346702893.20000005
2021-02-02,2021-02-02 23:59:59,147.43,150.49,145.75,148.93,255826,381222322.55
2021-02-03,2021-02-03 23:59:59,150.20000000000002,150.49,144.995,145.995,153541,225885948.55
2021-02-04,2021-02-04 23:59:59,144.70000000000002,145.76,143.085,144.54000000000002,157213,226796020.55
2021-02-05,2021-02-05 23:59:59,144.38,146.35999999999999,144.1,146.0,126219,183459792.95000002
2021-02-08,2021-02-08 23:59:59,145.9,146.9,144.64000000000001,145.505,149542,217803026.15
2021-02-09,2021-02-09 23:59:59,146.0,146.19000000000003,144.505,145.305,84601,122794892.0
2021-02-10,2021-02-10 23:59:59,145.69000000000003,146.245,142.76,144.04500000000002,128140,185198069.05
2021-02-11,2021-02-11 23:59:59,143.55,145.5,143.19000000000003,143.94000000000003,75540,108914705.45
2021-02-12,2021-02-12 23:59:59,144.0,144.1,142.9,143.9,75830,108710143.05000001
2021-02-15,2021-02-15 23:59:59,143.9,144.99,143.59,144.705,60384,87098703.35000001
2021-02-16,2021-02-16 23:59:59,144.71,145.655,143.28,144.0,136704,197245527.15
2021-02-17,2021-02-17 23:59:59,143.6,144.20000000000002,139.125,140.99,203197,287211622.7
2021-02-18,2021-02-18 23:59:59,141.0,141.0,136.655,137.725,151925,210852960.85000002
2021-02-19,2021-02-19 23:59:59,137.25,140.085,136.17000000000002,139.48,138795,191902016.95000002
2021-02-20,2021-02-20 23:59:59,139.715,140.0,139.08,139.88,12639,17623755.8
2021-02-22,2021-02-22 23:59:59,140.4,140.70000000000002,138.6,139.29000000000002,116853,162972738.20000002
2021-02-24,2021-02-24 23:59:59,138.205,141.46,137.06,140.91,182519,255328599.60000002
2021-02-25,2021-02-25 23:59:59,140.185,141.88,140.1,141.20000000000002,206490,291114688.8
