begin,end,open,high,low,close,volume,value
2023-01-20,2023-01-20 23:59:59,87.0,90.0,81.0002,85.0,805,51112289.74
2023-01-23,2023-01-23 23:59:59,85.0,86.8999,84.0006,85.0,1365,86646355.6
2023-01-24,2023-01-24 23:59:59,84.1001,84.2495,78.5,80.4999,4348,259993437.16
2023-01-25,2023-01-25 23:59:59,80.4899,80.5,77.75,78.4,2324,135758869.69
2023-01-26,2023-01-26 23:59:59,78.4,78.4,75.4,75.7,2629,150041308.52
2023-01-27,2023-01-27 23:59:59,76.0001,76.0001,74.5001,75.5,2071,117346861.44
2023-01-30,2023-01-30 23:59:59,76.4999,76.4999,50.0,75.99,2196,124402647.52
2023-01-31,2023-01-31 23:59:59,75.1103,75.9799,74.9898,75.6,1664,95071007.49
2023-02-01,2023-02-01 23:59:59,75.7,75.75,73.75,74.0,2825,160174381.38
2023-02-02,2023-02-02 23:59:59,74.5,74.55,72.551,73.25,4140,231233074.01
2023-02-03,2023-02-03 23:59:59,73.2,74.0,72.8882,73.4904,1753,98904748.39
2023-02-06,2023-02-06 23:59:59,74.4999,74.4999,71.1998,72.5,1104,61360943.83
2023-02-07,2023-02-07 23:59:59,72.99,72.99,71.3596,71.95,2688,147214380.56
2023-02-08,2023-02-08 23:59:59,72.488,75.35,71.5587,75.2999,3980,218805788.97
2023-02-09,2023-02-09 23:59:59,75.5999,75.8999,75.0,75.8997,1142,66098745.02
2023-02-10,2023-02-10 23:59:59,75.0,75.0001,74.25,74.9999,901,52573734.16
2023-02-13,2023-02-13 23:59:59,75.4498,76.4,74.13,74.9876,390,22826193.81
2023-02-14,2023-02-14 23:59:59,75.2893,75.2893,74.35,74.35,739,43579806.82
2023-02-15,2023-02-15 23:59:59,74.4934,74.9698,72.6201,72.9,1168,68372746.14
2023-02-16,2023-02-16 23:59:59,72.75,72.75,70.0,71.0,819,46398400.12
2023-02-17,2023-02-17 23:59:59,70.9899,71.4397,70.5,71.25,401,22730438.8
2023-02-20,2023-02-20 23:59:59,72.3991,72.47,70.1552,71.33,468,26750969.5
2023-02-21,2023-02-21 23:59:59,71.9605,72.4,71.82,72.4,180,10256757.78
2023-02-22,2023-02-22 23:59:59,72.4016,73.4889,71.0,72.4999,1014,58534670.25
2023-02-24,2023-02-24 23:59:59,73.0,73.0,72.65,72.65,264,15331601.37
2023-02-27,2023-02-27 23:59:59,72.4001,73.3978,71.6335,72.25,1268,73178727.06
2023-02-28,2023-02-28 23:59:59,72.0001,72.4974,71.0,71.99,720,41134351.99
2023-03-01,2023-03-01 23:59:59,71.5007,72.1,71.0,72.0,1368,77857977.29
2023-03-02,2023-03-02 23:59:59,72.0999,72.1,71.55,71.93,850,49015800.73
2023-03-03,2023-03-03 23:59:59,71.8101,71.8101,71.0529,71.6,1108,63462146.56
2023-03-06,2023-03-06 23:59:59,72.09,72.1,71.3799,71.38,484,27690744.21
2023-03-07,2023-03-07 23:59:59,71.4001,71.8981,71.3999,71.5998,366,21064599.02
2023-03-09,2023-03-09 23:59:59,71.995,72.0,71.8,71.8,574,33242727.18
2023-03-10,2023-03-10 23:59:59,71.5002,72.899,71.5002,72.5989,757,43727956.43
2023-03-13,2023-03-13 23:59:59,73.2993,73.2993,71.76,72.0,2014,116510833.77
2023-03-14,2023-03-14 23:59:59,72.4991,73.97,71.91,73.8999,671,39577119.61
2023-03-15,2023-03-15 23:59:59,72.822,78.8879,72.8219,76.8945,1628,99380832.76
2023-03-16,2023-03-16 23:59:59,76.9999,76.9999,75.43,76.1904,1506,92213928.91
2023-03-17,2023-03-17 23:59:59,76.0027,77.848,75.5504,76.0111,1674,103328439.49
2023-03-20,2023-03-20 23:59:59,76.0,76.8894,75.7667,76.25,1329,82738473.55
2023-03-21,2023-03-21 23:59:59,76.0007,76.5001,75.25,76.2,289,18122695.22
2023-03-22,2023-03-22 23:59:59,77.55,77.55,75.5248,76.2001,438,27658332.47
2023-03-23,2023-03-23 23:59:59,76.2004,76.3,75.2599,75.2603,319,20059935.83
2023-03-24,2023-03-24 23:59:59,76.4645,76.4998,75.0,75.9995,523,32897343.01
2023-03-27,2023-03-27 23:59:59,75.0737,75.82,74.75,75.5,2324,143645652.36
2023-03-28,2023-03-28 23:59:59,75.0005,75.98,75.0,75.88,846,52682935.31
2023-03-29,2023-03-29 23:59:59,75.8,75.98,75.8,75.98,217,13638216.07
2023-03-30,2023-03-30 23:59:59,75.9799,76.09,74.8003,75.97,738,46479782.05
2023-03-31,2023-03-31 23:59:59,75.5051,76.1899,75.1,76.18,122,7721834.16
2023-04-03,2023-04-03 23:59:59,75.5254,76.2989,75.5205,76.2989,967,61881344.5
2023-04-04,2023-04-04 23:59:59,76.28,76.4987,76.1999,76.4987,722,46671980.4
2023-04-05,2023-04-05 23:59:59,75.5506,75.7488,74.5,74.5401,274,17899519.87
2023-04-06,2023-04-06 23:59:59,74.25,75.0046,74.1111,74.8,491,32026805.58
2023-04-07,2023-04-07 23:59:59,74.85,75.5396,74.4,74.9893,101,6666964.64
2023-04-10,2023-04-10 23:59:59,74.2899,74.2899,73.02,73.4,436,28906354.45
2023-04-11,2023-04-11 23:59:59,74.8895,74.8895,73.5515,73.5515,410,27087175.06
2023-04-12,2023-04-12 23:59:59,73.9943,74.4994,73.22,73.7298,578,38191305.28
2023-04-13,2023-04-13 23:59:59,73.9998,73.9998,71.26,72.4989,1341,86843475.31
2023-04-14,2023-04-14 23:59:59,72.69,72.69,71.3,71.7001,1281,82695634.61
2023-04-17,2023-04-17 23:59:59,72.3499,72.3998,70.2099,71.03,1013,64763404.76
2023-04-18,2023-04-18 23:59:59,71.5,72.0001,70.8,71.5,1177,75186079.35
2023-04-19,2023-04-19 23:59:59,71.9,72.3898,71.0505,71.3,151,9678783.48
2023-04-20,2023-04-20 23:59:59,71.2999,72.1,70.9001,71.2,1788,114043015.76
2023-04-21,2023-04-21 23:59:59,71.3136,71.41,70.8999,71.3265,246,15662336.68
2023-04-24,2023-04-24 23:59:59,71.68,71.75,70.56,71.0624,979,61956798.98
2023-04-25,2023-04-25 23:59:59,72.2993,72.2994,71.0,71.0,695,44273784.23
2023-04-26,2023-04-26 23:59:59,71.0002,71.8995,70.9499,71.74,964,62229008.94
2023-04-27,2023-04-27 23:59:59,71.74,72.0994,71.6002,71.9989,1163,75419354.47
2023-04-28,2023-04-28 23:59:59,71.9988,71.9988,70.01,70.3055,2354,149759118.77
2023-05-02,2023-05-02 23:59:59,71.9597,71.96,70.8,70.9,498,31315310.98
2023-05-03,2023-05-03 23:59:59,71.75,71.9499,71.1,71.9,358,22430474.82
2023-05-04,2023-05-04 23:59:59,71.9699,72.3999,70.6102,71.39,521,32574180.03
2023-05-05,2023-05-05 23:59:59,71.4989,71.4989,70.7,71.0,420,25963462.77
2023-05-08,2023-05-08 23:59:59,72.4995,73.4699,71.5,72.2511,480,29467540.57
2023-05-10,2023-05-10 23:59:59,71.4,72.4795,71.4,71.65,258,15757312.28
2023-05-11,2023-05-11 23:59:59,71.5106,73.749,71.5102,73.6684,826,50244786.89
2023-05-12,2023-05-12 23:59:59,73.7994,74.9,73.7994,74.62,622,38412978.55
2023-05-15,2023-05-15 23:59:59,74.9797,74.999,74.1839,74.5008,184,11606558.74
2023-05-16,2023-05-16 23:59:59,74.0002,75.0,73.9,73.9,454,28974109.73
2023-05-17,2023-05-17 23:59:59,73.5002,73.5003,72.55,72.55,238,15138083.11
2023-05-18,2023-05-18 23:59:59,72.49,72.49,71.6001,72.4867,329,20698019.08
2023-05-19,2023-05-19 23:59:59,72.4799,73.1881,72.4799,72.8,791,49647346.31
2023-05-22,2023-05-22 23:59:59,72.6,72.95,72.1003,72.6887,47,2948549.76
2023-05-23,2023-05-23 23:59:59,73.0,73.5001,72.5,72.7998,220,13821011.19
2023-05-24,2023-05-24 23:59:59,72.7998,72.85,72.0602,72.5,500,31398130.07
2023-05-25,2023-05-25 23:59:59,72.0172,73.1998,72.0,72.6299,178,11127719.67
2023-05-26,2023-05-26 23:59:59,72.4998,73.24,71.6003,71.6003,574,35453981.87
2023-05-29,2023-05-29 23:59:59,71.7977,71.7999,71.6499,71.65,257,15843441.69
2023-05-30,2023-05-30 23:59:59,71.8,71.8,71.62,71.72,40,2463443.1
2023-05-31,2023-05-31 23:59:59,71.7098,71.7098,71.0,71.3998,1739,106951673.32
2023-06-01,2023-06-01 23:59:59,71.5,71.5,70.9,71.385,1709,104925173.61
2023-06-02,2023-06-02 23:59:59,70.9026,71.7498,70.9,71.699,440,27124386.24
2023-06-05,2023-06-05 23:59:59,71.6898,71.6898,70.7001,70.9504,294,18177359.86
2023-06-06,2023-06-06 23:59:59,71.5689,71.5889,70.8042,71.2,252,15670216.59
2023-06-07,2023-06-07 23:59:59,71.4886,71.4886,70.911,71.444,246,15200422.69
2023-06-08,2023-06-08 23:59:59,71.35,72.0001,71.25,72.0001,1518,94963924.85
2023-06-09,2023-06-09 23:59:59,73.3999,73.4186,71.2032,72.2989,642,40813322.44
2023-06-13,2023-06-13 23:59:59,71.9062,72.4001,71.2604,72.4,383,24513916.53
2023-06-14,2023-06-14 23:59:59,72.4899,72.49,71.2248,72.0,1520,98888474.68
2023-06-15,2023-06-15 23:59:59,71.63,71.6979,70.8,70.9301,378,24411396.58
2023-06-16,2023-06-16 23:59:59,71.35,71.4878,70.9045,71.4878,283,18337331.02
2023-06-19,2023-06-19 23:59:59,71.7999,71.8,70.9685,71.2478,956,62208989.16
2023-06-20,2023-06-20 23:59:59,71.39,71.9994,71.2,71.9172,160,10489193.59
2023-06-21,2023-06-21 23:59:59,71.0178,71.3997,71.0,71.2,72,4713512.48
2023-06-22,2023-06-22 23:59:59,71.1111,71.2487,70.9702,71.099,186,12156466.89
2023-06-23,2023-06-23 23:59:59,71.1999,71.2198,70.7016,71.0,493,32140918.44
2023-06-26,2023-06-26 23:59:59,71.24,71.2499,70.9005,71.208,520,33827045.13
2023-06-27,2023-06-27 23:59:59,70.9009,71.1,70.5502,71.1,395,25812995.73
2023-06-28,2023-06-28 23:59:59,70.75,71.1,70.7,70.8657,671,44320501.33
2023-06-29,2023-06-29 23:59:59,70.866,71.9887,70.01,71.8996,441,29479496.02
2023-06-30,2023-06-30 23:59:59,70.7316,71.9894,70.7316,71.7,771,52346473.9
2023-07-03,2023-07-03 23:59:59,71.6791,71.6791,71.0,71.2141,110,7504900.25
2023-07-04,2023-07-04 23:59:59,71.0022,71.1,70.1786,70.2,513,35256806.36
2023-07-05,2023-07-05 23:59:59,70.18,70.45,69.99,70.19,463,31709916.78
2023-07-06,2023-07-06 23:59:59,70.0543,70.5,68.9467,69.0,936,63743728.78
2023-07-07,2023-07-07 23:59:59,68.1998,68.1998,67.01,67.99,731,49855755.33
2023-07-10,2023-07-10 23:59:59,67.9999,68.2488,67.8541,67.9231,359,24382648.37
2023-07-11,2023-07-11 23:59:59,67.6899,67.98,66.9999,67.0,510,34472529.31
2023-07-12,2023-07-12 23:59:59,67.12,67.7156,67.0,67.6,374,25068398.35
2023-07-13,2023-07-13 23:59:59,67.5682,67.65,66.9999,67.35,3206,214726592.44
2023-07-14,2023-07-14 23:59:59,66.6999,66.9498,65.9,66.7888,1817,121117106.05
2023-07-17,2023-07-17 23:59:59,66.888,66.888,65.99,66.54,1004,67307485.96
2023-07-18,2023-07-18 23:59:59,66.2882,66.5,66.1001,66.1127,123,8280893.01
2023-07-19,2023-07-19 23:59:59,66.298,66.2981,65.9,66.0,214,14413490.96
2023-07-20,2023-07-20 23:59:59,65.8301,65.9993,64.601,64.9494,686,45704780.51
2023-07-21,2023-07-21 23:59:59,65.3,65.9989,65.0,65.5476,320,21360746.28
2023-07-24,2023-07-24 23:59:59,66.4298,66.4298,65.06,66.0,395,26152652.28
2023-07-25,2023-07-25 23:59:59,66.0005,66.4244,65.6002,65.7125,148,9784022.93
2023-07-26,2023-07-26 23:59:59,65.75,66.3484,64.9784,65.6499,3333,216489652.12
2023-07-27,2023-07-27 23:59:59,65.759,65.9985,64.9,65.3996,2170,141104591.07
