begin,end,open,high,low,close,volume,value
2024-06-28,2024-06-28 23:59:59,85.0001,92.0,85.0001,91.55,519,40155359.26
2024-07-01,2024-07-01 23:59:59,90.0,91.2997,90.0,91.2397,63,4875544.95
2024-07-02,2024-07-02 23:59:59,89.9,89.9,88.5,89.35,347,26939122.74
2024-07-03,2024-07-03 23:59:59,89.1089,91.3299,88.6,89.6499,311,24382144.19
2024-07-04,2024-07-04 23:59:59,89.5001,89.5001,88.05,89.3,338,26472881.33
2024-07-05,2024-07-05 23:59:59,89.4997,89.8498,88.9,89.0,159,12537916.67
2024-07-08,2024-07-08 23:59:59,88.0503,89.5,85.0,88.2,186,14412832.43
2024-07-09,2024-07-09 23:59:59,88.4667,88.4667,85.5502,85.6506,100,7587798.28
2024-07-10,2024-07-10 23:59:59,85.51,87.0,85.3,87.0,30,2267126.07
2024-07-11,2024-07-11 23:59:59,88.9438,88.9438,82.8,87.0,820,60935613.65
2024-07-12,2024-07-12 23:59:59,85.4664,86.8991,85.4662,86.5,25,1900488.28
2024-07-15,2024-07-15 23:59:59,86.5032,86.5032,85.01,85.13,216,16124186.67
2024-07-16,2024-07-16 23:59:59,85.1862,85.987,85.0,85.9833,350,26134575.44
2024-07-17,2024-07-17 23:59:59,85.9837,86.0,84.6148,84.7281,95,7136533.91
2024-07-18,2024-07-18 23:59:59,84.5752,85.0,83.79,84.81,56,4180459.7
2024-07-19,2024-07-19 23:59:59,83.5018,84.2397,83.5,84.2,16,1177569.47
2024-07-22,2024-07-22 23:59:59,83.4981,83.4981,83.0,83.0,17,1246056.69
2024-07-23,2024-07-23 23:59:59,82.91,83.5,82.0976,83.5,411,30081968.23
2024-07-24,2024-07-24 23:59:59,83.99,83.99,83.0,83.443,19,1384084.68
2024-07-25,2024-07-25 23:59:59,83.45,83.45,82.1102,82.6026,40,2857592.39
2024-07-26,2024-07-26 23:59:59,82.9002,84.48,82.4899,84.48,496,35177020.59
2024-07-29,2024-07-29 23:59:59,84.4,85.0,84.01,84.9994,210,15258694.03
2024-07-30,2024-07-30 23:59:59,84.9991,84.9991,82.0,82.0,491,34935682.3
2024-07-31,2024-07-31 23:59:59,82.9999,83.0,81.8,82.8987,46,3277164.0
2024-08-01,2024-08-01 23:59:59,82.116,82.4,81.35,82.2999,106,7499554.62
2024-08-02,2024-08-02 23:59:59,82.0015,83.8999,81.5,83.8999,2131,149891990.5
2024-08-05,2024-08-05 23:59:59,81.3116,83.0,81.3115,83.0,440,31237588.85
2024-08-06,2024-08-06 23:59:59,84.4977,84.4978,82.2191,83.2283,32,2272327.01
2024-08-07,2024-08-07 23:59:59,83.9551,84.65,82.9,83.8215,120,8532382.13
2024-08-08,2024-08-08 23:59:59,83.0019,83.3014,82.1001,82.8,316,22449527.39
2024-08-09,2024-08-09 23:59:59,83.7001,84.1,83.6835,83.8127,58,4203675.25
2024-08-12,2024-08-12 23:59:59,83.8126,84.2113,82.1212,84.1499,29,2126500.47
2024-08-13,2024-08-13 23:59:59,84.1459,84.4986,84.1459,84.3,22,1667239.25
2024-08-14,2024-08-14 23:59:59,82.001,84.4799,82.001,82.5283,83,6326723.95
2024-08-15,2024-08-15 23:59:59,82.5283,83.8659,82.52,82.9974,40,2981944.87
2024-08-16,2024-08-16 23:59:59,82.5016,83.0,81.9992,82.5,268,19708302.57
2024-08-19,2024-08-19 23:59:59,82.5043,83.2338,82.5043,83.2338,31,2290362.59
2024-08-20,2024-08-20 23:59:59,82.1169,82.8984,79.0,82.8984,116,8380819.44
2024-08-21,2024-08-21 23:59:59,82.5,82.7752,82.3,82.4747,45,3371154.67
2024-08-22,2024-08-22 23:59:59,82.475,83.9797,80.0001,80.2001,51,3850007.07
2024-08-23,2024-08-23 23:59:59,80.5999,82.4573,78.9999,80.693,388,28098053.41
2024-08-26,2024-08-26 23:59:59,79.6943,80.4,79.0,80.4,232,16803759.95
2024-08-27,2024-08-27 23:59:59,79.0501,80.0,77.5,79.0,77,5551774.54
2024-08-28,2024-08-28 23:59:59,78.0053,78.9,78.0053,78.9,127,9116209.19
2024-08-29,2024-08-29 23:59:59,78.6004,78.9772,77.05,78.5,43,3070880.14
2024-08-30,2024-08-30 23:59:59,78.8995,80.9142,78.0,79.6666,777,55534886.02
2024-09-02,2024-09-02 23:59:59,78.0091,79.8362,78.0091,79.0,19,1378760.28
2024-09-03,2024-09-03 23:59:59,79.2,79.2,78.25,78.25,25,1765610.78
2024-09-04,2024-09-04 23:59:59,78.9999,80.0001,78.9997,80.0,14,982704.77
2024-09-05,2024-09-05 23:59:59,78.0017,78.5,78.0,78.0001,17,1181962.01
2024-09-06,2024-09-06 23:59:59,79.0001,79.5,78.1195,78.1195,254,18092989.35
2024-09-09,2024-09-09 23:59:59,78.12,79.5,77.9999,79.5,215,15125733.02
2024-09-10,2024-09-10 23:59:59,79.1058,79.1058,77.17,78.3,840,58979681.08
2024-09-11,2024-09-11 23:59:59,78.1286,78.1286,77.2,77.24,42,2967332.99
2024-09-12,2024-09-12 23:59:59,77.2503,77.9,77.25,77.8,172,12139370.76
2024-09-13,2024-09-13 23:59:59,78.0,78.0593,77.5,77.8,28,1983215.11
2024-09-16,2024-09-16 23:59:59,77.86,78.0516,77.8002,78.0515,71,5035787.0
