begin,end,open,high,low,close,volume,value
2025-09-03,2025-09-03 23:59:59,104.2252,104.2252,100.5755,100.75,177392,1440155688.66
2025-09-04,2025-09-04 23:59:59,100.7601,101.2499,100.6921,101.249,166527,1359330625.0
2025-09-05,2025-09-05 23:59:59,101.24,101.24,100.8,101.14,109219,896662209.04
2025-09-08,2025-09-08 23:59:59,101.135,103.2,101.135,103.15,158155,1315351956.53
2025-09-09,2025-09-09 23:59:59,103.149,103.8301,102.5,103.74,255664,2169595996.56
2025-09-10,2025-09-10 23:59:59,103.5,103.9999,102.8,103.55,45715,394062345.41
2025-09-11,2025-09-11 23:59:59,102.95,102.999,101.1112,102.49,66848,579736050.53
2025-09-12,2025-09-12 23:59:59,102.2592,102.3,100.0101,100.2499,15471,133544991.94
2025-09-15,2025-09-15 23:59:59,100.9132,101.8944,99.69,100.1211,26083,220942384.68
2025-09-16,2025-09-16 23:59:59,100.5,101.7498,100.25,101.1655,59846,502716565.82
2025-09-17,2025-09-17 23:59:59,101.2601,102.2,101.2601,101.5263,14534,122580683.9
2025-09-18,2025-09-18 23:59:59,101.89,101.8998,101.339,101.6,22787,192175538.96
2025-09-19,2025-09-19 23:59:59,101.8998,101.8998,101.05,101.1982,7743,65340796.63
2025-09-22,2025-09-22 23:59:59,101.0905,101.3445,100.2503,100.3,13121,110273303.62
2025-09-23,2025-09-23 23:59:59,100.2719,100.2719,99.45,99.46,35636,298261561.91
2025-09-24,2025-09-24 23:59:59,100.1,100.6499,99.4901,99.85,15126,125898957.78
2025-09-25,2025-09-25 23:59:59,99.8518,99.8555,99.0001,99.1799,22315,186210946.39
2025-09-26,2025-09-26 23:59:59,99.0123,99.9198,98.0001,99.15,7726,63907023.22
2025-09-29,2025-09-29 23:59:59,99.1504,99.89,98.1,98.6978,9091,75141895.8
2025-09-30,2025-09-30 23:59:59,98.7,99.7,98.7,99.155,6280,51590237.07
2025-10-01,2025-10-01 23:59:59,99.39,99.7376,97.7,98.1,33793,275105696.67
2025-10-02,2025-10-02 23:59:59,98.7771,99.5,98.2003,99.0999,5761,46540533.23
2025-10-03,2025-10-03 23:59:59,99.1009,100.9979,99.1,100.59,71396,579829714.5
2025-10-06,2025-10-06 23:59:59,100.799,100.9107,99.2,100.3745,44484,364477853.75
2025-10-07,2025-10-07 23:59:59,98.8999,99.5782,97.8,98.7501,8083,66212479.55
2025-10-08,2025-10-08 23:59:59,100.2999,100.2999,97.8676,98.7999,10434,84403816.57
2025-10-09,2025-10-09 23:59:59,98.8001,99.9488,98.2,98.7942,9075,72972144.77
2025-10-10,2025-10-10 23:59:59,98.7942,98.9,97.9999,98.8981,104140,831304030.71
2025-10-13,2025-10-13 23:59:59,98.8982,99.122,97.7708,97.9669,6199,49390018.31
2025-10-14,2025-10-14 23:59:59,98.0041,98.1321,97.26,97.6138,6215,49055509.79
2025-10-15,2025-10-15 23:59:59,97.6136,97.6138,96.2995,97.3875,7184,55798389.09
2025-10-16,2025-10-16 23:59:59,98.49,100.68,97.6141,99.6,16480,129070070.64
2025-10-17,2025-10-17 23:59:59,100.5261,101.79,99.6008,101.65,20972,167835460.05
2025-10-20,2025-10-20 23:59:59,99.6018,101.2586,98.4999,99.24,10525,84978515.47
2025-10-21,2025-10-21 23:59:59,99.5563,99.5998,98.3502,99.1491,6377,51371158.14
2025-10-22,2025-10-22 23:59:59,99.7141,99.78,99.0013,99.02,4323,34985565.03
2025-10-23,2025-10-23 23:59:59,99.3357,99.3357,97.6,97.89,4653,37296973.51
2025-10-24,2025-10-24 23:59:59,97.916,99.0,96.5,96.9672,7115,56333811.96
2025-10-27,2025-10-27 23:59:59,99.6985,99.6985,96.05,96.5,6584,51483784.02
2025-10-28,2025-10-28 23:59:59,96.7002,99.2899,96.7002,99.2475,5675,44291455.87
2025-10-29,2025-10-29 23:59:59,99.2,99.2,97.2995,98.98,1881,14791918.05
2025-10-30,2025-10-30 23:59:59,99.001,99.4928,98.7523,99.2807,12107,95432198.15
2025-10-31,2025-10-31 23:59:59,99.0,99.4968,98.2999,98.9166,3738,29679936.37
2025-11-01,2025-11-01 23:59:59,98.8001,99.48,98.3507,98.894,1243,9953814.02
2025-11-03,2025-11-03 23:59:59,99.2093,99.48,98.5007,98.8793,856,6861842.08
2025-11-05,2025-11-05 23:59:59,98.8101,100.1411,98.81,99.9552,5412,43580457.36
2025-11-06,2025-11-06 23:59:59,99.8392,100.1778,98.5,99.2589,4049,32555230.04
2025-11-07,2025-11-07 23:59:59,98.7035,99.5725,98.7035,98.9,3101,24989561.18
2025-11-10,2025-11-10 23:59:59,99.0998,99.4998,98.66,99.2912,2024,16287344.71
2025-11-11,2025-11-11 23:59:59,99.2911,99.8409,98.6107,99.243,3572,28758657.4
2025-11-12,2025-11-12 23:59:59,99.243,99.2996,98.6107,98.9722,3267,26286653.58
2025-11-13,2025-11-13 23:59:59,99.2998,99.2998,98.0001,98.1999,7771,62078318.32
2025-11-14,2025-11-14 23:59:59,99.2996,99.3,97.9268,99.0068,12901,102860571.67
2025-11-17,2025-11-17 23:59:59,99.007,99.5708,98.5114,98.9,5016,40311164.41
2025-11-18,2025-11-18 23:59:59,98.9,99.1994,98.5501,98.9398,1294,10371800.99
2025-11-19,2025-11-19 23:59:59,98.94,98.94,97.61,97.8353,5922,47046709.51
2025-11-20,2025-11-20 23:59:59,98.3278,98.3279,97.6143,97.6467,2008,15910969.12
2025-11-21,2025-11-21 23:59:59,97.9554,99.1996,97.2,97.5,10975,86470777.69
2025-11-24,2025-11-24 23:59:59,97.7547,98.5997,97.7547,98.3003,8436,65442397.58
2025-11-25,2025-11-25 23:59:59,99.2,99.2,98.0507,99.0874,5242,40962876.52
2025-11-26,2025-11-26 23:59:59,99.0874,99.1865,98.51,98.9723,7001,54691556.23
2025-11-27,2025-11-27 23:59:59,98.9998,99.0,98.1873,98.275,29687,229360165.03
2025-11-28,2025-11-28 23:59:59,98.9188,98.9189,97.7,98.0572,9390,72297832.98
2025-12-01,2025-12-01 23:59:59,97.7502,98.3,97.75,98.1712,5832,44789948.81
