begin,end,open,high,low,close,volume,value
2025-12-08,2025-12-08 23:59:59,101.557,101.557,100.108,101.37,5126,556335189.09
2025-12-09,2025-12-09 23:59:59,100.856,103.386,100.5,101.78,5840,642683140.37
2025-12-10,2025-12-10 23:59:59,102.1,104.5,101.9,104.4,2728,305132235.37
2025-12-11,2025-12-11 23:59:59,104.341,104.8,102.6,103.95,2274,258434079.93
2025-12-12,2025-12-12 23:59:59,101.71,102.75,101.65,102.2,2240,255759414.53
2025-12-15,2025-12-15 23:59:59,102.9,102.9,100.51,101.85,1599,182935876.28
2025-12-16,2025-12-16 23:59:59,102.272,102.72,101.9,101.957,337,38677628.62
2025-12-17,2025-12-17 23:59:59,102.0,103.28,102.0,102.9,2234,258487602.15
2025-12-18,2025-12-18 23:59:59,102.0,102.49,101.093,102.113,1420,163586913.34
2025-12-19,2025-12-19 23:59:59,103.8,103.8,101.5,101.651,4610,534399163.12
2025-12-22,2025-12-22 23:59:59,101.1,101.799,99.072,99.5,2376,271897958.2
2025-12-23,2025-12-23 23:59:59,103.689,103.69,100.208,101.699,2123,241505861.93
2025-12-24,2025-12-24 23:59:59,102.437,103.63,101.871,102.997,1019,117027918.0
2025-12-25,2025-12-25 23:59:59,102.997,102.997,101.467,101.936,7108,809704181.86
2025-12-26,2025-12-26 23:59:59,103.364,103.686,102.012,102.83,1564,177808486.24
