begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,266.2,267.34,259.7,261.79,241035900,63366749524.6
2020-12-22,2020-12-22 23:59:59,259.55,267.42,257.05,262.04,210980960,55652707053.8
2020-12-23,2020-12-23 23:59:59,262.25,270.29,260.22,270.1,135877580,36103269161.2
2020-12-24,2020-12-24 23:59:59,271.98,272.82,267.13,269.32,85228900,23009055319.6
2020-12-25,2020-12-25 23:59:59,269.97,271.0,268.28,270.64,23979500,6470115730.2
2020-12-28,2020-12-28 23:59:59,270.9,275.19,269.73,274.7,78086860,21267020059.8
2020-12-29,2020-12-29 23:59:59,275.91,276.43,271.26,272.0,78043220,21384738751.6
2020-12-30,2020-12-30 23:59:59,272.49,274.24,270.12,271.65,63061320,17151624012.8
2021-01-04,2021-01-04 23:59:59,274.67,276.6,270.61,272.0,97845840,26869085948.0
2021-01-05,2021-01-05 23:59:59,272.69,275.7,270.28,275.2,91167820,24899880187.0
2021-01-06,2021-01-06 23:59:59,275.94,275.94,271.62,272.93,81897040,22397572709.4
2021-01-08,2021-01-08 23:59:59,275.11,283.99,275.11,283.64,177857580,49931196458.4
2021-01-11,2021-01-11 23:59:59,282.86,292.95,279.48,289.49,224699040,64775175899.4
2021-01-12,2021-01-12 23:59:59,290.88,296.07,286.7,289.99,157924720,46066415582.0
2021-01-13,2021-01-13 23:59:59,291.01,292.46,283.1,283.78,135118160,38658812136.4
2021-01-14,2021-01-14 23:59:59,284.0,286.9,279.06,284.79,149347400,42333107881.2
2021-01-15,2021-01-15 23:59:59,282.55,286.16,276.0,276.9,147549740,41408517339.4
2021-01-18,2021-01-18 23:59:59,275.72,281.3,272.95,279.79,147871300,41038606583.6
2021-01-19,2021-01-19 23:59:59,280.98,282.8,276.42,278.19,111997640,31315406711.6
2021-01-20,2021-01-20 23:59:59,278.62,282.49,276.77,279.8,95881960,26820210590.8
2021-01-21,2021-01-21 23:59:59,280.75,281.54,272.84,274.4,167591220,46208423714.4
