begin,end,open,high,low,close,volume,value
2021-11-19,2021-11-19 23:59:59,1005.1,1104.3,875.6,936.4,1061849,967252229.6
2021-11-22,2021-11-22 23:59:59,938.0,969.8,910.0,969.4,412446,388017911.7
2021-11-23,2021-11-23 23:59:59,960.0,962.5,945.3,958.0,98786,94303048.8
2021-11-24,2021-11-24 23:59:59,959.8,1008.7,938.0,1007.8,224679,218669536.3
2021-11-25,2021-11-25 23:59:59,990.0,1050.1,980.0,1040.5,107351,108132161.5
2021-11-26,2021-11-26 23:59:59,1035.0,1070.0,991.4,1036.0,435589,446919815.5
2021-11-29,2021-11-29 23:59:59,1036.0,1036.0,997.8,1026.7,301776,304846168.8
2021-11-30,2021-11-30 23:59:59,1019.9,1029.4,979.9,997.0,186565,187513125.0
2021-12-01,2021-12-01 23:59:59,999.9,1015.0,975.0,1008.3,129165,129834192.7
2021-12-02,2021-12-02 23:59:59,1009.9,1009.9,976.6,983.5,167633,166130959.6
2021-12-03,2021-12-03 23:59:59,983.2,993.0,952.0,975.0,172654,167969768.2
2021-12-06,2021-12-06 23:59:59,974.8,974.8,940.4,973.1,70557,67301262.5
2021-12-07,2021-12-07 23:59:59,975.0,1004.5,960.7,1000.0,96032,94415038.3
2021-12-08,2021-12-08 23:59:59,1000.0,1024.8,975.0,1024.8,178986,180207216.9
2021-12-09,2021-12-09 23:59:59,1028.9,1034.9,1001.6,1011.9,109782,111560802.5
2021-12-10,2021-12-10 23:59:59,1009.7,1024.2,1006.6,1021.9,158219,160094868.9
2021-12-13,2021-12-13 23:59:59,1011.5,1050.0,994.3,1032.0,84640,86784720.1
2021-12-14,2021-12-14 23:59:59,1020.0,1047.6,1006.5,1025.0,112349,115740362.0
2021-12-15,2021-12-15 23:59:59,1017.1,1036.2,1017.1,1026.1,71504,73384868.7
2021-12-16,2021-12-16 23:59:59,1027.1,1027.1,1008.2,1018.9,122412,124175351.7
2021-12-17,2021-12-17 23:59:59,1022.2,1028.2,1013.1,1018.3,115507,117623037.0
