begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,114.18,114.182,113.403,113.45,50364,57300607.0
2020-12-22,2020-12-22 23:59:59,113.445,113.64,113.287,113.557,25405,28835144.54
2020-12-23,2020-12-23 23:59:59,113.304,113.63,113.18,113.28,88680,100417610.96
2020-12-24,2020-12-24 23:59:59,113.281,113.609,113.202,113.4,17817,20203347.69
2020-12-25,2020-12-25 23:59:59,113.2,113.7,113.2,113.553,9218,10471724.45
2020-12-28,2020-12-28 23:59:59,114.498,114.546,113.303,113.412,35789,40644463.88
2020-12-29,2020-12-29 23:59:59,114.39,114.39,113.208,113.642,47004,53401620.37
2020-12-30,2020-12-30 23:59:59,114.25,114.25,113.51,113.6,34349,39052697.72
2021-01-04,2021-01-04 23:59:59,114.491,114.491,113.602,113.929,2202,2508678.19
2021-01-05,2021-01-05 23:59:59,113.701,113.953,113.701,113.952,1616,1841270.01
2021-01-06,2021-01-06 23:59:59,113.607,113.95,113.607,113.7,2836,3226972.78
2021-01-08,2021-01-08 23:59:59,113.7,113.92,113.651,113.702,1127,1281331.15
2021-01-11,2021-01-11 23:59:59,113.95,113.95,113.32,113.368,17181,19506322.05
2021-01-12,2021-01-12 23:59:59,113.888,113.888,113.17,113.354,43229,49041649.93
2021-01-13,2021-01-13 23:59:59,113.747,113.747,113.0,113.196,21513,24351630.61
2021-01-14,2021-01-14 23:59:59,112.802,113.649,112.8,113.01,89079,100700464.54
2021-01-15,2021-01-15 23:59:59,113.495,113.495,112.297,112.537,225021,253384820.91
2021-01-18,2021-01-18 23:59:59,112.534,112.58,112.163,112.4,31548,35447283.06
2021-01-19,2021-01-19 23:59:59,112.122,112.935,112.122,112.687,36149,40696153.03
2021-01-20,2021-01-20 23:59:59,112.124,113.018,112.124,112.796,18687,21074041.63
2021-01-21,2021-01-21 23:59:59,112.309,112.83,112.307,112.499,632335,711029867.72
2021-01-22,2021-01-22 23:59:59,112.511,112.513,111.821,111.85,40563,45462566.13
2021-01-25,2021-01-25 23:59:59,112.474,112.474,111.573,112.139,25662,28761066.54
2021-01-26,2021-01-26 23:59:59,112.629,112.629,111.814,112.178,32433,36371900.57
2021-01-27,2021-01-27 23:59:59,112.0,112.311,111.9,111.999,111332,124691203.48
2021-01-28,2021-01-28 23:59:59,111.848,111.999,111.67,111.9,282546,316160690.38
2021-01-29,2021-01-29 23:59:59,111.9,112.089,111.871,111.92,173855,194715947.52
2021-02-01,2021-02-01 23:59:59,112.151,112.497,111.5,112.0,120026,134410944.18
2021-02-02,2021-02-02 23:59:59,111.594,112.179,111.594,111.89,9982,11178676.82
2021-02-03,2021-02-03 23:59:59,111.548,112.092,111.548,111.68,1163266,1298906175.97
