begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,2444.6,2451.8,2310.0,2382.2,296825,700220472.2
2020-12-22,2020-12-22 23:59:59,2359.6,2420.0,2334.2,2376.4,180415,430580599.6
2020-12-23,2020-12-23 23:59:59,2398.4,2398.4,2343.2,2366.4,73359,173799858.0
2020-12-24,2020-12-24 23:59:59,2396.8,2396.8,2345.0,2355.0,65552,155175035.0
2020-12-25,2020-12-25 23:59:59,2354.0,2362.6,2325.2,2343.2,61527,143898885.2
2020-12-28,2020-12-28 23:59:59,2335.4,2370.0,2330.4,2365.2,90226,212777787.6
2020-12-29,2020-12-29 23:59:59,2373.2,2399.0,2332.6,2360.2,136640,322022879.0
2020-12-30,2020-12-30 23:59:59,2357.6,2406.0,2342.0,2360.4,150439,357422520.0
2021-01-04,2021-01-04 23:59:59,2395.2,2515.8,2376.2,2473.0,301689,742670279.8
2021-01-05,2021-01-05 23:59:59,2461.4,2514.0,2420.4,2454.0,229716,565992336.6
2021-01-06,2021-01-06 23:59:59,2429.0,2499.0,2425.0,2469.8,213360,526621476.4
2021-01-08,2021-01-08 23:59:59,2598.8,2954.8,2566.0,2925.0,796303,2240076201.0
2021-01-11,2021-01-11 23:59:59,2900.0,3112.0,2855.2,2970.0,757138,2293889702.0
2021-01-12,2021-01-12 23:59:59,3025.0,3025.0,2808.0,2912.2,426580,1238621756.6
2021-01-13,2021-01-13 23:59:59,2919.8,2955.4,2844.8,2882.0,168401,483958705.0
2021-01-14,2021-01-14 23:59:59,2880.0,3048.0,2858.4,3008.2,331592,986541662.2
2021-01-15,2021-01-15 23:59:59,3005.0,3384.8,2980.6,3250.0,682276,2202730000.4
2021-01-18,2021-01-18 23:59:59,3290.0,3564.0,3165.8,3449.8,912013,3118880112.4
2021-01-19,2021-01-19 23:59:59,3456.6,3511.6,3203.0,3256.2,740127,2459951705.8
2021-01-20,2021-01-20 23:59:59,3278.8,3367.0,3106.0,3171.4,952170,3040302948.4
2021-01-21,2021-01-21 23:59:59,3170.0,3170.0,2935.0,3000.0,803687,2419059231.4
2021-01-22,2021-01-22 23:59:59,2999.4,3105.0,2942.0,3065.0,543634,1646347173.8
2021-01-25,2021-01-25 23:59:59,3088.4,3189.6,3012.0,3112.0,605314,1885912577.8
2021-01-26,2021-01-26 23:59:59,3124.6,3140.0,3013.8,3049.8,573143,1757351222.4
2021-01-27,2021-01-27 23:59:59,3051.0,3074.4,2952.0,3023.4,333554,1008620452.6
2021-01-28,2021-01-28 23:59:59,2990.2,3085.2,2884.6,3053.2,329560,987224051.8
2021-01-29,2021-01-29 23:59:59,3031.0,3145.0,3014.0,3090.8,438635,1355934373.2
2021-02-01,2021-02-01 23:59:59,3090.6,3255.0,3060.2,3243.0,401945,1289839183.6
2021-02-02,2021-02-02 23:59:59,3275.0,3304.6,3170.0,3223.6,297594,960094441.6
2021-02-03,2021-02-03 23:59:59,3225.0,3248.4,3194.6,3223.4,167584,540553179.6
2021-02-04,2021-02-04 23:59:59,3230.0,3250.0,3137.0,3199.2,256409,818490125.0
