begin,end,open,high,low,close,volume,value
2021-08-25,2021-08-25 23:59:59,5.462,5.473,5.418,5.467,2051,11160.82
2021-08-26,2021-08-26 23:59:59,5.419,5.513,5.412,5.473,20229,109754.93
2021-08-27,2021-08-27 23:59:59,5.507,5.539,5.466,5.485,141711,778576.08
2021-08-30,2021-08-30 23:59:59,5.511,5.524,5.466,5.492,44257,243234.78
2021-08-31,2021-08-31 23:59:59,5.477,5.511,5.457,5.476,140818,771564.8
2021-09-01,2021-09-01 23:59:59,5.459,5.489,5.443,5.461,11777,64325.96
2021-09-02,2021-09-02 23:59:59,5.438,5.464,5.417,5.425,10234,55811.87
2021-09-03,2021-09-03 23:59:59,5.44,5.506,5.424,5.49,12337,67350.2
2021-09-06,2021-09-06 23:59:59,5.476,5.507,5.468,5.507,16488,90362.1
2021-09-07,2021-09-07 23:59:59,5.487,5.491,5.403,5.441,36871,201645.9
2021-09-08,2021-09-08 23:59:59,5.421,5.468,5.383,5.43,29425,159635.7
2021-09-09,2021-09-09 23:59:59,5.386,5.421,5.375,5.399,31846,171665.28
2021-09-10,2021-09-10 23:59:59,5.429,5.429,5.364,5.427,5895,31918.47
2021-09-13,2021-09-13 23:59:59,5.376,5.41,5.356,5.376,7201,38809.41
2021-09-14,2021-09-14 23:59:59,5.356,5.442,5.343,5.428,24384,130890.21
2021-09-15,2021-09-15 23:59:59,5.427,5.427,5.343,5.375,6993,37700.97
2021-09-16,2021-09-16 23:59:59,5.33,5.34,5.23,5.263,16882,89541.36
2021-09-17,2021-09-17 23:59:59,5.305,5.317,5.234,5.281,30523,160775.53
2021-09-20,2021-09-20 23:59:59,5.281,5.36,5.267,5.321,20013,106155.81
2021-09-21,2021-09-21 23:59:59,5.311,5.383,5.298,5.35,5016,26781.6
2021-09-22,2021-09-22 23:59:59,5.335,5.369,5.305,5.33,6597,35223.23
2021-09-23,2021-09-23 23:59:59,5.27,5.335,5.236,5.263,7758,40948.03
2021-09-24,2021-09-24 23:59:59,5.265,5.31,5.224,5.278,24287,128206.3
2021-09-27,2021-09-27 23:59:59,5.27,5.307,5.219,5.25,55169,290490.77
2021-09-28,2021-09-28 23:59:59,5.211,5.238,5.161,5.236,21458,111544.44
2021-09-29,2021-09-29 23:59:59,5.218,5.246,5.179,5.179,10108,52757.36
2021-09-30,2021-09-30 23:59:59,5.203,5.289,5.169,5.259,23121,119809.77
2021-10-01,2021-10-01 23:59:59,5.259,5.328,5.251,5.287,21512,113424.29
2021-10-04,2021-10-04 23:59:59,5.287,5.287,5.239,5.28,7179,37821.95
2021-10-05,2021-10-05 23:59:59,5.237,5.277,5.209,5.258,77029,404086.99
2021-10-06,2021-10-06 23:59:59,5.231,5.27,5.193,5.237,4246,22175.4
2021-10-07,2021-10-07 23:59:59,5.237,5.273,5.185,5.194,5689,29727.93
2021-10-08,2021-10-08 23:59:59,5.206,5.284,5.177,5.183,30107,158024.22
2021-10-11,2021-10-11 23:59:59,5.188,5.21,5.152,5.184,24747,128250.92
2021-10-12,2021-10-12 23:59:59,5.223,5.254,5.198,5.225,25000,130515.96
2021-10-13,2021-10-13 23:59:59,5.206,5.318,5.206,5.31,10452,54763.21
2021-10-14,2021-10-14 23:59:59,5.319,5.33,5.266,5.302,5230,27748.43
2021-10-15,2021-10-15 23:59:59,5.267,5.267,5.171,5.193,107477,556884.89
2021-10-18,2021-10-18 23:59:59,5.172,5.19,5.148,5.19,33437,172924.11
2021-10-19,2021-10-19 23:59:59,5.251,5.266,5.18,5.188,27645,144677.72
2021-10-20,2021-10-20 23:59:59,5.227,5.234,5.19,5.219,26727,139509.16
2021-10-21,2021-10-21 23:59:59,5.232,5.248,5.203,5.209,15069,78769.5
2021-10-22,2021-10-22 23:59:59,5.257,5.274,5.174,5.2,16791,87852.37
2021-10-25,2021-10-25 23:59:59,5.233,5.233,5.172,5.218,18092,94213.03
2021-10-26,2021-10-26 23:59:59,5.18,5.182,5.098,5.127,15834,81356.47
2021-10-27,2021-10-27 23:59:59,5.127,5.21,5.11,5.184,9135,47241.09
2021-10-28,2021-10-28 23:59:59,5.244,5.271,5.181,5.229,27317,142710.38
2021-10-29,2021-10-29 23:59:59,5.203,5.237,5.17,5.177,7304,37985.03
2021-11-01,2021-11-01 23:59:59,5.242,5.284,5.202,5.24,12280,64180.41
2021-11-02,2021-11-02 23:59:59,5.266,5.326,5.266,5.292,28911,152763.24
2021-11-03,2021-11-03 23:59:59,5.244,5.31,5.214,5.224,35535,186563.37
2021-11-05,2021-11-05 23:59:59,5.34,5.34,5.252,5.316,30476,161746.1
2021-11-08,2021-11-08 23:59:59,5.316,5.364,5.316,5.36,31789,169999.12
2021-11-09,2021-11-09 23:59:59,5.36,5.364,5.294,5.326,7634,40690.73
2021-11-10,2021-11-10 23:59:59,5.318,5.44,5.28,5.426,36865,197769.54
2021-11-11,2021-11-11 23:59:59,5.426,5.474,5.422,5.434,86565,470569.31
2021-11-12,2021-11-12 23:59:59,5.446,5.594,5.446,5.558,80078,441811.24
2021-11-15,2021-11-15 23:59:59,5.544,5.592,5.48,5.584,525948,2928987.44
2021-11-16,2021-11-16 23:59:59,5.594,5.664,5.552,5.636,134619,754052.38
2021-11-17,2021-11-17 23:59:59,5.616,5.616,5.54,5.552,40638,226995.27
2021-11-18,2021-11-18 23:59:59,5.552,5.624,5.536,5.612,29376,163627.65
2021-11-19,2021-11-19 23:59:59,5.576,5.648,5.542,5.61,28322,159137.33
2021-11-22,2021-11-22 23:59:59,5.568,5.776,5.53,5.6,81402,457778.5
2021-11-23,2021-11-23 23:59:59,5.57,5.62,5.428,5.506,1056158,5754691.05
2021-11-24,2021-11-24 23:59:59,5.506,5.542,5.468,5.518,17927,98616.93
2021-11-25,2021-11-25 23:59:59,5.542,5.546,5.488,5.508,6910,38137.26
2021-11-26,2021-11-26 23:59:59,5.61,5.698,5.576,5.612,154902,870269.56
2021-11-29,2021-11-29 23:59:59,5.576,5.6,5.466,5.474,123786,687413.14
2021-11-30,2021-11-30 23:59:59,5.58,5.582,5.472,5.506,17982,99732.22
2021-12-01,2021-12-01 23:59:59,5.504,5.504,5.414,5.442,7007,38119.1
2021-12-02,2021-12-02 23:59:59,5.428,5.434,5.34,5.356,20545,110684.1
2021-12-03,2021-12-03 23:59:59,5.386,5.402,5.356,5.364,6849,36753.37
2021-12-06,2021-12-06 23:59:59,5.43,5.436,5.364,5.436,125614,681751.97
2021-12-07,2021-12-07 23:59:59,5.45,5.478,5.422,5.462,18715,102050.12
2021-12-08,2021-12-08 23:59:59,5.474,5.474,5.394,5.416,10237,55543.68
2021-12-09,2021-12-09 23:59:59,5.394,5.422,5.37,5.378,12308,66353.71
2021-12-10,2021-12-10 23:59:59,5.378,5.392,5.328,5.39,127331,679473.88
2021-12-13,2021-12-13 23:59:59,5.408,5.428,5.38,5.4,29742,160462.81
2021-12-14,2021-12-14 23:59:59,5.4,5.424,5.352,5.352,37890,204018.19
2021-12-15,2021-12-15 23:59:59,5.394,5.4,5.35,5.364,25902,138989.63
2021-12-16,2021-12-16 23:59:59,5.448,5.462,5.382,5.426,12860,69649.47
2021-12-17,2021-12-17 23:59:59,5.524,5.532,5.45,5.532,85361,470509.27
2021-12-20,2021-12-20 23:59:59,5.528,5.528,5.466,5.48,15006,82402.47
2021-12-21,2021-12-21 23:59:59,5.466,5.498,5.43,5.47,36919,202054.54
2021-12-22,2021-12-22 23:59:59,5.464,5.464,5.404,5.438,29724,161665.31
2021-12-23,2021-12-23 23:59:59,5.47,5.488,5.432,5.452,29511,161394.02
2021-12-24,2021-12-24 23:59:59,5.438,5.502,5.434,5.502,31117,170606.15
2021-12-27,2021-12-27 23:59:59,5.482,5.498,5.448,5.488,153483,840253.81
2021-12-28,2021-12-28 23:59:59,5.47,5.528,5.466,5.5,40451,223290.09
2021-12-29,2021-12-29 23:59:59,5.498,5.52,5.436,5.516,121688,667761.34
2021-12-30,2021-12-30 23:59:59,5.496,5.582,5.462,5.578,16013,88385.25
2022-01-03,2022-01-03 23:59:59,5.628,5.628,5.504,5.54,30494,169214.18
2022-01-04,2022-01-04 23:59:59,5.54,5.622,5.53,5.62,6218,34661.51
2022-01-05,2022-01-05 23:59:59,5.636,5.722,5.602,5.7,185685,1048884.44
2022-01-06,2022-01-06 23:59:59,5.696,5.696,5.4,5.618,48624,274864.25
2022-01-10,2022-01-10 23:59:59,5.566,5.568,5.52,5.566,78101,432890.84
2022-01-11,2022-01-11 23:59:59,5.568,5.596,5.53,5.596,23779,132194.13
2022-01-12,2022-01-12 23:59:59,5.588,5.624,5.544,5.62,16028,89347.41
2022-01-13,2022-01-13 23:59:59,5.608,5.724,5.566,5.7,56330,317914.71
2022-01-14,2022-01-14 23:59:59,5.682,5.77,5.66,5.708,95628,546957.11
2022-01-17,2022-01-17 23:59:59,5.69,5.742,5.642,5.696,75571,431449.4
2022-01-18,2022-01-18 23:59:59,5.688,5.75,5.654,5.718,164786,942964.98
2022-01-19,2022-01-19 23:59:59,5.722,5.792,5.652,5.74,156898,898431.1
2022-01-20,2022-01-20 23:59:59,5.758,5.82,5.738,5.8,32951,190278.05
2022-01-21,2022-01-21 23:59:59,5.816,5.842,5.74,5.794,484626,2804687.53
2022-01-24,2022-01-24 23:59:59,5.83,6.0,5.802,5.94,775672,4616652.98
2022-01-25,2022-01-25 23:59:59,5.94,6.034,5.906,5.916,405897,2406419.38
2022-01-26,2022-01-26 23:59:59,5.998,6.056,5.932,5.952,806855,4828817.32
2022-01-27,2022-01-27 23:59:59,5.902,5.922,5.706,5.758,87469,509652.42
2022-01-28,2022-01-28 23:59:59,5.752,5.754,5.664,5.708,236065,1350881.26
2022-01-31,2022-01-31 23:59:59,5.678,5.734,5.668,5.73,78034,444297.25
