begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,5.518,5.518,5.354,5.38,5192727,28116279.25
2020-12-22,2020-12-22 23:59:59,5.418,5.472,5.354,5.422,3501697,19040515.4
2020-12-23,2020-12-23 23:59:59,5.45,5.472,5.424,5.468,2474971,13516313.02
2020-12-24,2020-12-24 23:59:59,5.478,5.498,5.452,5.46,2686678,14699148.6
2020-12-25,2020-12-25 23:59:59,5.466,5.486,5.45,5.482,1703123,9297948.27
2020-12-28,2020-12-28 23:59:59,5.476,5.504,5.452,5.504,2650301,14567857.7
2020-12-29,2020-12-29 23:59:59,5.51,5.536,5.498,5.524,2861399,15808309.88
2020-12-30,2020-12-30 23:59:59,5.524,5.564,5.514,5.56,3411640,18928842.91
2021-01-04,2021-01-04 23:59:59,5.558,5.658,5.558,5.642,4882257,27489429.99
2021-01-05,2021-01-05 23:59:59,5.632,5.658,5.578,5.656,4526423,25470388.65
2021-01-06,2021-01-06 23:59:59,5.656,5.716,5.656,5.688,4442791,25263710.73
2021-01-08,2021-01-08 23:59:59,5.71,5.868,5.694,5.85,6024879,35034487.25
2021-01-11,2021-01-11 23:59:59,5.83,5.948,5.79,5.896,8210800,48370421.02
2021-01-12,2021-01-12 23:59:59,5.892,5.954,5.84,5.868,6710471,39666217.82
2021-01-13,2021-01-13 23:59:59,5.896,5.92,5.834,5.868,4217394,24772223.17
2021-01-14,2021-01-14 23:59:59,5.868,5.91,5.79,5.888,5333378,31270457.92
2021-01-15,2021-01-15 23:59:59,5.886,5.92,5.83,5.84,4607094,27122292.73
2021-01-18,2021-01-18 23:59:59,5.848,5.866,5.774,5.848,4322453,25181283.38
2021-01-19,2021-01-19 23:59:59,5.834,5.89,5.814,5.824,3250655,19047682.07
2021-01-20,2021-01-20 23:59:59,5.844,5.874,5.82,5.86,3110194,18212312.28
2021-01-21,2021-01-21 23:59:59,5.858,5.886,5.758,5.768,6870625,39903191.0
2021-01-22,2021-01-22 23:59:59,5.782,5.782,5.65,5.716,4602522,26237784.67
2021-01-25,2021-01-25 23:59:59,5.71,5.782,5.7,5.73,5331300,30673530.6
2021-01-26,2021-01-26 23:59:59,5.748,5.75,5.684,5.722,3442835,19690667.37
2021-01-27,2021-01-27 23:59:59,5.722,5.88,5.606,5.66,3778022,21528643.45
2021-01-28,2021-01-28 23:59:59,5.654,5.66,5.566,5.642,4135766,23201276.52
2021-01-29,2021-01-29 23:59:59,5.636,5.636,5.528,5.532,3934042,21914520.77
2021-02-01,2021-02-01 23:59:59,5.56,5.582,5.51,5.554,4032748,22374756.8
2021-02-02,2021-02-02 23:59:59,5.568,5.68,5.568,5.67,3103734,17499871.83
2021-02-03,2021-02-03 23:59:59,5.66,5.69,5.624,5.638,3104060,17558145.2
2021-02-04,2021-02-04 23:59:59,5.668,5.708,5.642,5.69,2722752,15486885.6
2021-02-05,2021-02-05 23:59:59,5.744,5.744,5.69,5.696,3416894,19545970.31
2021-02-08,2021-02-08 23:59:59,5.706,5.806,5.706,5.802,5077102,29350511.13
2021-02-09,2021-02-09 23:59:59,5.83,5.852,5.764,5.78,4855741,28187318.05
2021-02-10,2021-02-10 23:59:59,5.774,5.81,5.72,5.73,4118054,23757914.45
2021-02-11,2021-02-11 23:59:59,5.742,5.758,5.72,5.744,3154146,18100999.0
2021-02-12,2021-02-12 23:59:59,5.746,5.76,5.64,5.732,4656754,26533219.16
2021-02-15,2021-02-15 23:59:59,5.73,5.852,5.7,5.85,6610878,38580776.99
2021-02-16,2021-02-16 23:59:59,5.864,5.916,5.86,5.882,6060316,35647636.07
2021-02-17,2021-02-17 23:59:59,5.9,5.9,5.782,5.792,3530081,20758023.0
2021-02-18,2021-02-18 23:59:59,5.86,5.886,5.726,5.75,6415888,37162160.12
2021-02-19,2021-02-19 23:59:59,5.784,5.834,5.686,5.808,4744543,27362748.48
2021-02-20,2021-02-20 23:59:59,5.79,5.834,5.778,5.812,2903224,16862273.58
2021-02-22,2021-02-22 23:59:59,5.814,5.826,5.752,5.798,3839096,22232272.52
2021-02-24,2021-02-24 23:59:59,5.794,5.794,5.704,5.712,3676706,21163382.89
2021-02-25,2021-02-25 23:59:59,5.738,5.77,5.714,5.74,3316862,19057859.59
2021-02-26,2021-02-26 23:59:59,5.74,5.74,5.602,5.636,3659892,20720313.29
2021-03-01,2021-03-01 23:59:59,5.664,5.714,5.644,5.712,3396568,19295908.1
2021-03-02,2021-03-02 23:59:59,5.704,5.76,5.676,5.748,4067610,23296943.22
2021-03-03,2021-03-03 23:59:59,5.744,5.8,5.736,5.748,3921291,22668277.15
2021-03-04,2021-03-04 23:59:59,5.734,5.746,5.668,5.736,2965000,16914035.41
2021-03-05,2021-03-05 23:59:59,5.67,5.79,5.666,5.718,3148495,18031247.85
2021-03-09,2021-03-09 23:59:59,5.762,5.876,5.75,5.852,7623284,44473698.03
2021-03-10,2021-03-10 23:59:59,5.86,5.91,5.83,5.832,5836174,34287274.27
2021-03-11,2021-03-11 23:59:59,5.852,5.894,5.838,5.894,4687739,27523770.31
2021-03-12,2021-03-12 23:59:59,5.924,5.944,5.896,5.934,5472959,32403678.0
2021-03-15,2021-03-15 23:59:59,5.962,6.064,5.814,6.038,7710881,46483263.38
2021-03-16,2021-03-16 23:59:59,6.07,6.07,5.978,6.022,5883501,35378733.48
2021-03-17,2021-03-17 23:59:59,6.038,6.038,5.896,5.902,4747733,28286383.87
2021-03-18,2021-03-18 23:59:59,5.956,5.976,5.896,5.908,4137791,24527594.59
2021-03-19,2021-03-19 23:59:59,5.84,5.892,5.75,5.858,3521375,20642359.45
2021-03-22,2021-03-22 23:59:59,5.892,5.892,5.846,5.884,3342711,19638450.07
2021-03-23,2021-03-23 23:59:59,5.878,5.878,5.824,5.838,3535378,20656822.89
2021-03-24,2021-03-24 23:59:59,5.82,5.87,5.8,5.856,3263527,19046527.55
2021-03-25,2021-03-25 23:59:59,5.852,5.86,5.794,5.796,3736415,21782534.62
2021-03-26,2021-03-26 23:59:59,5.854,5.884,5.836,5.864,4226958,24806557.01
2021-03-29,2021-03-29 23:59:59,5.896,5.958,5.886,5.93,5047873,29929722.57
2021-03-30,2021-03-30 23:59:59,5.958,5.974,5.9,5.926,3548565,21070770.77
2021-03-31,2021-03-31 23:59:59,5.914,5.952,5.914,5.946,4125559,24479096.92
2021-04-01,2021-04-01 23:59:59,5.964,6.008,5.942,5.952,5045371,30198066.87
2021-04-02,2021-04-02 23:59:59,5.976,6.0,5.956,5.988,4319416,25849962.48
2021-04-05,2021-04-05 23:59:59,6.0,6.0,5.92,5.932,5639217,33496670.81
2021-04-06,2021-04-06 23:59:59,5.944,5.96,5.878,5.896,5081482,30037041.65
2021-04-07,2021-04-07 23:59:59,5.884,5.914,5.822,5.888,4504317,26542868.85
2021-04-08,2021-04-08 23:59:59,5.916,5.932,5.886,5.896,3302845,19525872.25
2021-04-09,2021-04-09 23:59:59,5.894,5.922,5.87,5.88,3562392,20974256.5
2021-04-12,2021-04-12 23:59:59,5.88,5.95,5.852,5.914,5131091,30361260.46
2021-04-13,2021-04-13 23:59:59,5.92,5.95,5.912,5.93,4435636,26313438.25
2021-04-14,2021-04-14 23:59:59,5.944,5.994,5.944,5.984,4705458,28140792.39
2021-04-15,2021-04-15 23:59:59,5.986,6.0,5.932,5.97,4036840,24106649.0
2021-04-16,2021-04-16 23:59:59,5.978,6.04,5.978,6.03,5160625,31048126.39
2021-04-19,2021-04-19 23:59:59,6.064,6.07,6.0,6.012,5118505,30890314.87
2021-04-20,2021-04-20 23:59:59,6.024,6.042,5.964,5.97,3857867,23170003.67
2021-04-21,2021-04-21 23:59:59,5.97,6.008,5.962,5.994,2864188,17161487.64
2021-04-22,2021-04-22 23:59:59,6.002,6.056,5.996,6.052,3826701,23048539.0
2021-04-23,2021-04-23 23:59:59,6.052,6.06,6.024,6.042,3238533,19559219.22
2021-04-26,2021-04-26 23:59:59,6.05,6.082,6.038,6.064,3913274,23725343.23
2021-04-27,2021-04-27 23:59:59,6.066,6.11,6.05,6.066,3787261,23064024.45
2021-04-28,2021-04-28 23:59:59,6.066,6.092,6.004,6.038,3614943,21836361.53
2021-04-29,2021-04-29 23:59:59,6.038,6.078,6.012,6.024,2876662,17396367.7
2021-04-30,2021-04-30 23:59:59,6.034,6.042,5.962,5.968,3497051,20957030.97
2021-05-04,2021-05-04 23:59:59,5.968,6.052,5.968,6.034,4121491,24870761.28
2021-05-05,2021-05-05 23:59:59,6.058,6.118,6.038,6.116,4687793,28535398.8
2021-05-06,2021-05-06 23:59:59,6.148,6.176,6.116,6.158,4359836,26848600.32
2021-05-07,2021-05-07 23:59:59,6.168,6.224,6.168,6.204,4465314,27712575.09
2021-05-10,2021-05-10 23:59:59,6.204,6.274,6.192,6.238,4986527,31122160.13
2021-05-11,2021-05-11 23:59:59,6.25,6.268,6.174,6.206,4903797,30442324.52
2021-05-12,2021-05-12 23:59:59,6.24,6.26,6.204,6.232,3495123,21788245.77
2021-05-13,2021-05-13 23:59:59,6.202,6.206,6.134,6.196,4274415,26410166.17
2021-05-14,2021-05-14 23:59:59,6.228,6.244,6.184,6.208,3585187,22273294.14
2021-05-17,2021-05-17 23:59:59,6.21,6.234,6.176,6.192,4292600,26602962.84
2021-05-18,2021-05-18 23:59:59,6.212,6.298,6.212,6.288,4767308,29904451.78
2021-05-19,2021-05-19 23:59:59,6.304,6.304,6.164,6.196,3866991,24086505.6
2021-05-20,2021-05-20 23:59:59,6.192,6.23,6.12,6.196,3644231,22515693.82
2021-05-21,2021-05-21 23:59:59,6.202,6.242,6.17,6.238,2998322,18628171.55
2021-05-24,2021-05-24 23:59:59,6.236,6.264,6.212,6.238,3468343,21650441.93
2021-05-25,2021-05-25 23:59:59,6.248,6.29,6.242,6.278,4360337,27348457.65
2021-05-26,2021-05-26 23:59:59,6.278,6.324,6.278,6.322,4289313,27076541.63
2021-05-27,2021-05-27 23:59:59,6.322,6.364,6.3,6.364,4032876,25524586.72
