begin,end,open,high,low,close,volume,value
2020-12-21,2020-12-21 23:59:59,949000.0,951125.0000000001,912875.0,929499.9999999999,58560480000,10881612741750.0
2020-12-22,2020-12-22 23:59:59,922500.0,938500.0,918875.0,930125.0,27838570000,5184409218250.0
2020-12-23,2020-12-23 23:59:59,932375.0000000001,953625.0,928875.0,948625.0,33251380000,6273126916500.0
2020-12-24,2020-12-24 23:59:59,953750.0000000002,956750.0,941750.0000000001,945750.0,17867390000,3383165331500.0
2020-12-25,2020-12-25 23:59:59,946000.0,951875.0,945000.0,948750.0,9899430000,1879269093000.0
2020-12-28,2020-12-28 23:59:59,957500.0,957875.0000000001,947500.0000000001,950250.0,18439690000,3511179087500.0
2020-12-29,2020-12-29 23:59:59,954500.0,955500.0,936625.0,943874.9999999999,16673280000,3152729619250.0
2020-12-30,2020-12-30 23:59:59,947250.0,954500.0,937500.0,947375.0,17776870000,3365677228000.0
2021-01-04,2021-01-04 23:59:59,952500.0,963000.0,945000.0,948125.0,23944330000,4572748509250.0
2021-01-05,2021-01-05 23:59:59,948125.0,965000.0,946375.0,961125.0,28792370000,5510413921500.0
2021-01-06,2021-01-06 23:59:59,964500.0,964875.0,951250.0,955874.9999999999,25475760000,4883412667750.0
2021-01-08,2021-01-08 23:59:59,962875.0000000001,977375.0,961125.0,973500.0000000001,39651860000,7699872285000.0
2021-01-11,2021-01-11 23:59:59,968625.0,1001250.0000000002,960250.0,997250.0000000001,60323050000,11894402237750.0
2021-01-12,2021-01-12 23:59:59,1001125.0,1013750.0,993750.0,1004375.0,50005080000,10045837914000.0
2021-01-13,2021-01-13 23:59:59,1005000.0,1011499.9999999999,987749.9999999999,993375.0,37111550000,7413910111500.0
2021-01-14,2021-01-14 23:59:59,994749.9999999998,1002499.9999999999,981500.0,996875.0,26622860000,5290073414500.0
2021-01-15,2021-01-15 23:59:59,993375.0,1036000.0,980000.0,988999.9999999999,84249390000,17064447273750.0
2021-01-18,2021-01-18 23:59:59,984375.0,986000.0000000002,968874.9999999999,979000.0,39201640000,7658013451500.0
2021-01-19,2021-01-19 23:59:59,986750.0,986874.9999999999,963750.0,966125.0,33876040000,6590842298750.0
2021-01-20,2021-01-20 23:59:59,967000.0,972750.0,965000.0,969750.0,24794300000,4805365906000.0
2021-01-21,2021-01-21 23:59:59,974500.0,974750.0,944750.0,946750.0,37890030000,7244217715250.0
2021-01-22,2021-01-22 23:59:59,941250.0000000001,943500.0000000001,927000.0,934250.0,33448360000,6251149689250.0
2021-01-25,2021-01-25 23:59:59,940000.0,947500.0000000001,935125.0,943000.0,25857840000,4870714741500.0
2021-01-26,2021-01-26 23:59:59,938750.0,945625.0,933750.0,943000.0,18564990000,3491402408250.0
2021-01-27,2021-01-27 23:59:59,945000.0,947125.0,925500.0,926625.0000000001,24568050000,4599374555000.0
2021-01-28,2021-01-28 23:59:59,925000.0,933000.0,910000.0,927250.0,34129890000,6286012827250.0
2021-01-29,2021-01-29 23:59:59,923375.0,923875.0,913750.0,915875.0,22255430000,4089028153500.0
2021-02-01,2021-02-01 23:59:59,920000.0,928625.0,915875.0,923625.0,20879260000,3852089110750.0
2021-02-02,2021-02-02 23:59:59,927500.0,938250.0,921250.0,923625.0,27939660000,5205587598750.0
2021-02-03,2021-02-03 23:59:59,928500.0,934375.0,918750.0,925000.0,22615290000,4186524900000.0
2021-02-04,2021-02-04 23:59:59,923000.0,935000.0,923000.0,934499.9999999999,18429970000,3431459968250.0
2021-02-05,2021-02-05 23:59:59,936375.0,951875.0,932875.0000000001,947125.0,29792610000,5625335928000.0
2021-02-08,2021-02-08 23:59:59,950500.0,958500.0,950500.0,957125.0,20104930000,3836838733750.0
2021-02-09,2021-02-09 23:59:59,959999.9999999999,960625.0,939750.0,945125.0,25175230000,4774358938000.0
2021-02-10,2021-02-10 23:59:59,946250.0,951750.0,932000.0,934250.0,16866700000,3174177136000.0
2021-02-11,2021-02-11 23:59:59,935000.0,943250.0,930874.9999999999,936750.0000000001,12237700000,2293460342500.0
2021-02-12,2021-02-12 23:59:59,932875.0000000001,942250.0000000001,923625.0,942125.0,20143020000,3753990965500.0
2021-02-15,2021-02-15 23:59:59,946000.0,953625.0,943750.0,952000.0,21421400000,4063019373750.0
2021-02-16,2021-02-16 23:59:59,953750.0000000002,955625.0,942500.0,947250.0,15731190000,2978910990250.0
2021-02-17,2021-02-17 23:59:59,946375.0,957500.0,934499.9999999999,941999.9999999999,23409080000,4430355058000.0
2021-02-18,2021-02-18 23:59:59,943374.9999999999,943374.9999999999,918875.0,923500.0000000001,25715150000,4780450162000.0
2021-02-19,2021-02-19 23:59:59,920124.9999999999,936625.0,917875.0,934499.9999999999,20674660000,3838615755500.0
2021-02-20,2021-02-20 23:59:59,932250.0,934499.9999999999,928750.0,932750.0,3098180000,577294700500.0
2021-02-22,2021-02-22 23:59:59,936625.0,940625.0,924250.0000000001,933750.0,10337580000,1925745425000.0
2021-02-24,2021-02-24 23:59:59,929999.9999999999,939500.0,927749.9999999999,937000.0,16615080000,3101762066250.0
2021-02-25,2021-02-25 23:59:59,938750.0,952500.0,933124.9999999999,935375.0,36458160000,6896018920500.0
2021-02-26,2021-02-26 23:59:59,932000.0,943000.0,924000.0,926874.9999999999,33570090000,6251441998250.0
2021-03-01,2021-03-01 23:59:59,931375.0,936500.0,930375.0,934625.0,14719430000,2747444435500.0
2021-03-02,2021-03-02 23:59:59,932375.0000000001,943250.0,928125.0,940125.0,19735210000,3697164788750.0
2021-03-03,2021-03-03 23:59:59,944250.0,952125.0,932500.0,936125.0,25685690000,4842388604000.0
2021-03-04,2021-03-04 23:59:59,937000.0,943874.9999999999,921250.0,924375.0,31210100000,5834543217250.0
2021-03-05,2021-03-05 23:59:59,929125.0,940000.0,924125.0,939750.0,25894490000,4826794681750.0
2021-03-09,2021-03-09 23:59:59,941000.0,965875.0,939875.0000000001,961624.9999999998,40891710000,7823668711500.0
2021-03-10,2021-03-10 23:59:59,957500.0,977250.0,952125.0,957749.9999999999,26424890000,5088275394750.0
2021-03-11,2021-03-11 23:59:59,961750.0,966375.0,945375.0000000001,956625.0,24737460000,4715361882750.0
2021-03-12,2021-03-12 23:59:59,957000.0,957375.0000000001,949375.0,954375.0,12851650000,2448937328000.0
2021-03-15,2021-03-15 23:59:59,957500.0,970000.0,955125.0,964249.9999999999,22968780000,4421241835500.0
2021-03-16,2021-03-16 23:59:59,962250.0000000002,973000.0000000001,957500.0,969125.0000000001,19205050000,3708153751750.0
2021-03-17,2021-03-17 23:59:59,967750.0,970625.0,946125.0,955375.0,26216840000,5015830521750.0
2021-03-18,2021-03-18 23:59:59,958250.0,961250.0,936125.0,940249.9999999999,26270740000,5000624781250.0
2021-03-19,2021-03-19 23:59:59,941250.0000000001,954250.0000000001,935500.0000000001,954250.0000000001,48400790000,9190887431500.0
2021-03-22,2021-03-22 23:59:59,946999.9999999999,965000.0,943000.0,953999.9999999998,29558520000,5656810917750.0
2021-03-23,2021-03-23 23:59:59,952250.0,957250.0,940625.0,945000.0,22980950000,4366775009250.0
2021-03-24,2021-03-24 23:59:59,949750.0000000001,954874.9999999999,945375.0000000001,947875.0,13796240000,2622656114000.0
2021-03-25,2021-03-25 23:59:59,948000.0000000001,954125.0,941750.0000000001,951250.0,13874130000,2630347431500.0
2021-03-26,2021-03-26 23:59:59,952500.0,961500.0,952500.0,959499.9999999999,12087100000,2312372255000.0
2021-03-29,2021-03-29 23:59:59,958250.0,972499.9999999999,953375.0,969625.0,25068860000,4846421153000.0
2021-03-30,2021-03-30 23:59:59,973750.0,998374.9999999999,971250.0,996500.0,36327050000,7146894957500.0
2021-03-31,2021-03-31 23:59:59,997875.0,1072250.0,996249.9999999999,1067875.0,183384400000,38378820349500.0
2021-04-01,2021-04-01 23:59:59,1074999.9999999998,1090875.0,1057499.9999999998,1064500.0,93832880000,20135338892250.0
2021-04-02,2021-04-02 23:59:59,1070250.0,1079375.0,1051750.0,1071375.0,38690610000,8246616251500.0
2021-04-05,2021-04-05 23:59:59,1071500.0,1110750.0,1068125.0,1109375.0,71705980000,15676696300000.0
2021-04-06,2021-04-06 23:59:59,1112125.0,1123375.0,1070750.0,1072500.0000000002,96213900000,21145775632750.0
2021-04-07,2021-04-07 23:59:59,1072500.0000000002,1109999.9999999998,1066874.9999999998,1102500.0,56021740000,12255882705500.0
2021-04-08,2021-04-08 23:59:59,1109500.0,1124500.0,1096625.0,1101375.0,50377450000,11211886536000.0
2021-04-09,2021-04-09 23:59:59,1101500.0,1103625.0,1085000.0,1093750.0,30692520000,6704371751500.0
2021-04-12,2021-04-12 23:59:59,1090375.0000000002,1112500.0,1083750.0,1100500.0,27505520000,6055302065000.0
2021-04-13,2021-04-13 23:59:59,1106749.9999999998,1137500.0,1104125.0,1137000.0000000002,55400560000,12456048762750.0
2021-04-14,2021-04-14 23:59:59,1143000.0,1179500.0,1140625.0,1169000.0,83229210000,19376596749750.0
2021-04-15,2021-04-15 23:59:59,1147500.0000000002,1167625.0,1141125.0,1158875.0,39619790000,9168158340750.0
2021-04-16,2021-04-16 23:59:59,1168875.0,1188500.0,1164125.0,1186875.0000000002,52252950000,12309397064250.0
2021-04-19,2021-04-19 23:59:59,1190000.0000000002,1195000.0,1158750.0,1160500.0,53903270000,12624912539250.0
2021-04-20,2021-04-20 23:59:59,1166875.0,1204999.9999999998,1148124.9999999998,1170625.0,136890110000,32398062483500.0
2021-04-21,2021-04-21 23:59:59,1169125.0,1198750.0,1162375.0,1196499.9999999998,67800970000,16049985476500.0
2021-04-22,2021-04-22 23:59:59,1200000.0,1206749.9999999998,1180500.0,1200000.0,57180210000,13683031897750.0
2021-04-23,2021-04-23 23:59:59,1204000.0,1287500.0,1202375.0,1284000.0,192194760000,48090571157500.0
2021-04-26,2021-04-26 23:59:59,1294999.9999999998,1304000.0,1260250.0,1282875.0,107433310000,27650719939000.0
2021-04-27,2021-04-27 23:59:59,1282875.0,1294249.9999999998,1272000.0,1282375.0,59692860000,15290046363250.0
2021-04-28,2021-04-28 23:59:59,1292500.0,1293000.0,1253500.0,1258250.0,72041480000,18235274498250.0
2021-04-29,2021-04-29 23:59:59,1265500.0,1281000.0,1236250.0,1250250.0,66675490000,16703111251750.0
2021-04-30,2021-04-30 23:59:59,1245625.0,1292000.0,1238875.0,1290000.0,73640960000,18639215286000.0
2021-05-04,2021-05-04 23:59:59,1297250.0,1372500.0,1293000.0,1367375.0,144393170000,38643958477000.0
2021-05-05,2021-05-05 23:59:59,1370750.0,1391375.0000000002,1338250.0000000002,1353125.0,76302090000,20750961443000.0
2021-05-06,2021-05-06 23:59:59,1355000.0,1371124.9999999998,1339125.0,1357125.0,37973130000,10269327627000.0
2021-05-07,2021-05-07 23:59:59,1362375.0,1363750.0,1310500.0,1318125.0,56926980000,15159080116000.0
2021-05-10,2021-05-10 23:59:59,1325000.0,1329875.0,1255500.0,1272375.0,64939230000,16650191108750.0
2021-05-11,2021-05-11 23:59:59,1267500.0000000002,1291000.0,1237500.0,1239500.0,87188320000,21868822349000.0
2021-05-12,2021-05-12 23:59:59,1246250.0,1252499.9999999998,1210125.0,1215125.0,85049780000,20975692964000.0
2021-05-13,2021-05-13 23:59:59,1218125.0,1281500.0,1214250.0,1276375.0,78539940000,19585076728250.0
2021-05-14,2021-05-14 23:59:59,1282500.0,1288750.0,1240000.0,1251875.0,55320760000,13922639337250.0
2021-05-17,2021-05-17 23:59:59,1258125.0000000002,1258375.0,1194125.0,1199000.0,105454970000,25550251212500.0
2021-05-18,2021-05-18 23:59:59,1203750.0,1214500.0,1140000.0,1141750.0,218991330000,51241865417250.0
2021-05-19,2021-05-19 23:59:59,1129999.9999999998,1185500.0,1102750.0,1132500.0,347106250000,79248546894250.0
