begin,end,open,high,low,close,volume,value
2025-01-09,2025-01-09 23:59:59,2690.0,3000.0,2670.0,2803.0,6661057,18605876495.5
2025-01-10,2025-01-10 23:59:59,2800.0,2975.0,2783.0,2945.0,3454995,9928853671.0
2025-01-13,2025-01-13 23:59:59,2962.0,2999.5,2882.0,2905.0,2120539,6277932539.5
2025-01-14,2025-01-14 23:59:59,2920.0,2933.0,2884.0,2929.0,911219,2655837357.5
2025-01-15,2025-01-15 23:59:59,2936.5,2949.5,2891.0,2904.5,694614,2024350049.5
2025-01-16,2025-01-16 23:59:59,2905.0,2948.0,2883.0,2910.0,1282730,3745089026.5
2025-01-17,2025-01-17 23:59:59,2905.0,2911.5,2858.5,2898.0,1161953,3359704639.0
2025-01-20,2025-01-20 23:59:59,2900.5,2914.5,2866.0,2866.0,885908,2564986489.0
2025-01-21,2025-01-21 23:59:59,2885.0,2935.0,2837.0,2930.0,1407145,4062827824.5
2025-01-22,2025-01-22 23:59:59,2933.0,2947.0,2908.0,2914.0,860496,2517489394.0
2025-01-23,2025-01-23 23:59:59,2913.5,2914.0,2886.0,2900.0,626933,1820780497.0
2025-01-24,2025-01-24 23:59:59,2912.0,2919.0,2897.0,2909.5,786697,2286813252.0
2025-01-27,2025-01-27 23:59:59,2911.0,2950.0,2892.5,2919.5,1017938,2980611594.5
2025-01-28,2025-01-28 23:59:59,2921.0,3145.0,2911.0,3130.5,3609641,10945882636.5
2025-01-29,2025-01-29 23:59:59,3132.0,3190.0,3085.0,3169.0,2062314,6502730682.0
2025-01-30,2025-01-30 23:59:59,3169.0,3298.0,3166.0,3259.0,2894288,9361568823.0
2025-01-31,2025-01-31 23:59:59,3261.0,3294.0,3192.5,3232.0,1560315,5050480704.0
2025-02-03,2025-02-03 23:59:59,3232.5,3274.0,3172.5,3240.0,1014890,3294016575.5
2025-02-04,2025-02-04 23:59:59,3241.0,3291.5,3226.5,3268.5,1275542,4163927380.0
2025-02-05,2025-02-05 23:59:59,3267.0,3305.0,3241.5,3276.5,1275707,4168599512.0
2025-02-06,2025-02-06 23:59:59,3283.0,3295.0,3234.5,3264.5,1121689,3657438042.5
2025-02-07,2025-02-07 23:59:59,3268.0,3276.5,3245.0,3266.0,613710,2000935109.0
2025-02-10,2025-02-10 23:59:59,3266.5,3357.0,3266.5,3267.5,1723277,5729109629.5
2025-02-11,2025-02-11 23:59:59,3285.0,3353.0,3275.0,3318.5,1076594,3566014260.0
2025-02-12,2025-02-12 23:59:59,3323.0,3450.0,3318.5,3440.0,2008114,6784916837.5
2025-02-13,2025-02-13 23:59:59,3440.0,3675.5,3364.0,3419.0,2621433,9079829316.0
2025-02-14,2025-02-14 23:59:59,3419.5,3493.5,3350.0,3406.5,1877552,6425824603.5
2025-02-17,2025-02-17 23:59:59,3425.0,3480.0,3415.0,3470.0,1201150,4150524838.0
2025-02-18,2025-02-18 23:59:59,3470.0,3470.0,3406.5,3430.0,811061,2791480012.0
2025-02-19,2025-02-19 23:59:59,3438.0,3466.0,3380.5,3445.0,648394,2227927815.5
2025-02-20,2025-02-20 23:59:59,3450.0,3489.5,3350.5,3449.5,647881,2235803126.0
2025-02-21,2025-02-21 23:59:59,3448.0,3470.0,3432.0,3448.5,334231,1153575286.5
2025-02-24,2025-02-24 23:59:59,3448.5,3468.5,3414.5,3438.5,772397,2657794550.5
2025-02-25,2025-02-25 23:59:59,3440.0,3460.0,3385.0,3414.5,939476,3221311088.0
2025-02-26,2025-02-26 23:59:59,3414.5,3437.5,3276.0,3299.0,1419337,4757297288.0
2025-02-27,2025-02-27 23:59:59,3295.5,3362.5,3202.0,3222.5,1495848,4869844700.5
2025-02-28,2025-02-28 23:59:59,3220.0,3349.5,3175.0,3334.0,1370411,4476318403.0
2025-03-01,2025-03-01 23:59:56,3340.0,3352.0,3325.5,3333.5,25308,84662397.0
2025-03-02,2025-03-02 23:59:59,3336.0,3349.0,3303.5,3320.0,33952,113030942.5
2025-03-03,2025-03-03 23:59:52,3318.0,3340.0,3191.0,3257.0,1034661,3353363373.5
2025-03-04,2025-03-04 23:59:56,3260.0,3389.0,3260.0,3348.5,1112001,3722952402.0
2025-03-05,2025-03-05 23:59:55,3351.0,3380.0,3300.0,3322.5,912139,3043633322.0
2025-03-06,2025-03-06 23:59:51,3304.5,3343.5,3277.5,3337.5,513723,1700725016.0
2025-03-07,2025-03-07 23:59:55,3337.0,3433.5,3322.5,3393.0,1348015,4555280703.5
2025-03-10,2025-03-10 23:59:56,3393.5,3495.0,3393.0,3464.5,1244368,4304407104.0
2025-03-11,2025-03-11 23:59:55,3465.0,3565.0,3457.0,3547.5,1651586,5821265319.5
2025-03-12,2025-03-12 23:59:55,3550.0,3565.0,3440.0,3518.0,1093014,3833764860.0
2025-03-13,2025-03-13 23:59:56,3518.5,3547.5,3425.0,3513.0,1465422,5097213900.0
2025-03-14,2025-03-14 23:59:55,3511.0,3615.5,3487.5,3610.0,1182982,4214543179.5
2025-03-15,2025-03-15 23:59:56,3616.0,3640.0,3610.0,3630.5,54462,197841234.0
2025-03-16,2025-03-16 23:59:56,3605.0,3645.0,3605.0,3644.5,47953,174365862.0
2025-03-17,2025-03-17 23:59:57,3640.0,3666.0,3592.0,3648.0,1766147,6410208576.5
2025-03-18,2025-03-18 23:59:56,3648.5,3663.0,3580.0,3608.0,977770,3546818445.5
2025-03-19,2025-03-19 23:59:55,3618.0,3744.0,3601.0,3736.0,1268630,4675029564.5
2025-03-20,2025-03-20 23:59:59,3745.0,3764.0,3654.0,3694.0,1154985,4280610369.0
2025-03-21,2025-03-21 23:59:55,3695.0,3719.0,3610.0,3708.0,3223561,11792477896.5
2025-03-24,2025-03-24 23:59:56,3653.0,3663.0,3570.0,3589.5,1438070,5184458516.0
