begin,end,open,high,low,close,volume,value
2024-07-24,2024-07-24 23:59:59,4542.0,4542.0,4100.0,4148.5,5300782,22320577653.5
2024-07-25,2024-07-25 23:59:59,4153.5,4186.0,4070.0,4137.5,1905603,7829606352.0
2024-07-26,2024-07-26 23:59:59,4137.5,4176.5,3931.0,3962.5,4187989,16904130984.5
2024-07-29,2024-07-29 23:59:59,3935.0,3935.0,3783.0,3867.0,4730950,18208188588.0
2024-07-30,2024-07-30 23:59:59,3917.0,3949.0,3809.0,3910.0,4070128,15843727512.5
2024-07-31,2024-07-31 23:59:59,3915.5,3954.5,3865.5,3892.0,2007544,7830245296.5
2024-08-01,2024-08-01 23:59:59,3895.0,3921.0,3861.0,3871.5,1226606,4780686748.0
2024-08-02,2024-08-02 23:59:59,3871.5,3874.0,3726.0,3728.5,2611364,9903454083.0
2024-08-05,2024-08-05 23:59:59,3605.5,3657.0,3551.0,3585.0,3840829,13833300061.0
2024-08-06,2024-08-06 23:59:59,3643.0,3700.0,3564.0,3644.0,2341885,8526866247.0
2024-08-07,2024-08-07 23:59:59,3661.5,3876.0,3605.0,3854.0,4359542,16375286919.0
2024-08-08,2024-08-08 23:59:59,3860.0,3929.5,3790.5,3828.0,3522485,13650847754.0
2024-08-09,2024-08-09 23:59:59,3826.0,3870.5,3792.5,3854.5,1123907,4317354418.0
2024-08-12,2024-08-12 23:59:59,3829.0,3923.0,3805.5,3923.0,1658809,6430124026.0
2024-08-13,2024-08-13 23:59:59,3938.0,3964.0,3903.5,3911.0,1118537,4388712872.5
2024-08-14,2024-08-14 23:59:59,3915.0,3929.0,3825.0,3831.5,996717,3870788320.0
2024-08-15,2024-08-15 23:59:59,3832.0,3860.0,3783.0,3828.0,1129756,4323806429.0
2024-08-16,2024-08-16 23:59:59,3828.5,3856.0,3756.0,3776.5,1084178,4132482329.0
2024-08-19,2024-08-19 23:59:59,3799.0,3825.0,3680.5,3725.5,1905573,7133017020.0
2024-08-20,2024-08-20 23:59:59,3742.0,3787.5,3683.5,3753.0,1234119,4619093843.0
2024-08-21,2024-08-21 23:59:59,3755.0,3853.0,3712.5,3836.5,1344017,5089330925.0
2024-08-22,2024-08-22 23:59:59,3836.5,3884.0,3760.5,3794.0,1505016,5767631658.5
2024-08-23,2024-08-23 23:59:59,3794.0,3836.5,3730.0,3807.0,1390128,5279733790.0
2024-08-26,2024-08-26 23:59:59,3880.0,3945.0,3851.0,3913.5,1751792,6841437892.5
2024-08-27,2024-08-27 23:59:59,3910.5,3942.5,3828.5,3844.0,910370,3535268111.5
2024-08-28,2024-08-28 23:59:59,3844.0,3920.0,3819.0,3892.5,1268153,4906349096.5
2024-08-29,2024-08-29 23:59:59,3902.0,3944.5,3840.0,3926.0,1113382,4327875699.0
2024-08-30,2024-08-30 23:59:59,3954.0,3972.5,3731.0,3765.5,1671578,6406318939.5
2024-09-02,2024-09-02 23:59:59,3730.5,3762.0,3583.5,3620.5,2474527,9028183174.0
2024-09-03,2024-09-03 23:59:59,3635.0,3707.0,3568.0,3652.0,1935125,7051789113.0
2024-09-04,2024-09-04 23:59:59,3655.0,3744.0,3628.0,3737.0,1025998,3782591110.5
2024-09-05,2024-09-05 23:59:59,3761.0,3769.5,3669.0,3679.5,962185,3587219979.0
2024-09-06,2024-09-06 23:59:59,3681.5,3745.5,3641.0,3715.0,677793,2505889134.5
2024-09-09,2024-09-09 23:59:59,3740.0,3888.0,3738.5,3883.5,1424505,5462855886.0
2024-09-10,2024-09-10 23:59:59,3905.0,3905.5,3771.0,3825.0,1116225,4283306393.5
2024-09-11,2024-09-11 23:59:59,3822.0,3878.0,3777.0,3782.0,1316846,5042863024.0
2024-09-12,2024-09-12 23:59:59,3792.0,3829.5,3736.0,3828.5,1164435,4410876752.5
